participant_id,n_trials,varvol_beta_softmax,varvol_log_lik,varvol_bic,varvol_n_params,varvol_success,varvol_n_evals,weber_beta_softmax,weber_lambdaa,weber_mu,weber_log_lik,weber_bic,weber_n_params,weber_success,weber_n_evals,delta_bic,better_model
25da8b12-9a43-40cd-84f2-5b152a5f0f7f,100,0.25001779878858704,-68.9755130734417,142.5561963328715,1,True,40,8.710788947307636,0.7866497279513748,0.5438002817487706,-66.05572070167916,145.9269519613226,3,True,61,-3.370755628451093,VarVol
adaptive_lab_07ee303f,100,1.6295211644558318,-38.508976704724944,81.62312359543797,1,True,32,7.74883241624421,1.096917487837536,0.09230627663587093,-38.42704725977725,90.66960507751877,3,True,151,-9.046481482080793,VarVol
adaptive_lab_08d9887c,100,2.079174469654659,-42.81929804823962,90.24376628246732,1,True,29,1.430694592016926,0.12676190752132221,0.07706630135574682,-47.313935620424864,108.443381798814,3,True,73,-18.199615516346682,VarVol
adaptive_lab_09b45851,100,0.4154549048614723,-65.85952231352204,136.32421481303217,1,True,42,0.5218226594092656,0.2568064245728915,0.23193925608766147,-66.19455582453918,146.20462220704263,3,True,80,-9.880407394010462,VarVol
adaptive_lab_1671e99c,100,1.3725388247869503,-44.14086370025432,92.88689758649673,1,True,32,3.384858869401049,0.9036281683715338,0.09320544582238499,-39.141679052551595,92.09886866306746,3,True,121,0.7880289234292661,Weber
adaptive_lab_1ea56ad2,100,3.367573911477777,-18.91988074162671,42.44493166924151,1,True,37,4.169191802857672,0.05476428617715201,0.18038363695751586,-17.263886571072582,48.34328370010944,3,True,159,-5.898352030867926,VarVol
adaptive_lab_22a6875c,100,0.6108082036450363,-65.65290752198399,135.91098522995608,1,True,42,1.0330765162416258,0.15413581872565818,0.2596313641685893,-64.91006087177966,143.6356323015236,3,True,65,-7.724647071567517,VarVol
adaptive_lab_2eade079,100,2.501465822213851,-37.05861260089175,78.72239538777158,1,True,27,3.1029475585243937,0.019749280030912697,0.3076163856910916,-26.668857527001297,67.15322561196687,3,True,110,11.56916977580471,Weber
adaptive_lab_3162592a,100,1.1302837005308006,-48.004706036489445,100.61458225896698,1,True,37,2.61142175870534,0.8388305520264057,0.1694910097275043,-52.622906307481244,119.06132317292676,3,True,54,-18.446740913959786,VarVol
adaptive_lab_390371f9,100,0.1,-70.48510606329191,145.57538231257192,1,True,39,4.686579941173611,0.12689636626685685,0.9361975947206959,-69.17557968824453,152.16666993445332,3,True,76,-6.591287621881406,VarVol
adaptive_lab_42003269,100,1.1957268175048719,-55.37884749459954,115.36286517518717,1,True,30,3.303015992502428,0.1445601169478522,0.5804392788135163,-54.025697700008855,121.86690595798198,3,True,73,-6.504040782794817,VarVol
adaptive_lab_4b7a6ad7,100,1.2038032969464467,-47.57730487306647,99.75977993212102,1,True,30,2.7223331556435304,0.6407724438707251,0.21727204953975549,-44.92634426696046,103.6681990918852,3,True,114,-3.908419159764179,VarVol
adaptive_lab_52ae4c1c,100,0.1,-69.44263274333791,143.49043567266392,1,True,34,0.1,1.3264170947190725,0.8680254325465608,-69.31710159531592,152.4497137485961,3,True,57,-8.95927807593219,VarVol
