trialNumber,stimulus,trueState,userChoice,outcome,reactionTime,isRuleChange,modelChoice,modelIsCorrect,participant_id
1,,0,0,win,2371,False,,,experiment_data
2,,0,0,win,471,False,,,experiment_data
3,,0,0,win,310,False,,,experiment_data
4,,0,0,loss,248,False,,,experiment_data
5,,0,1,loss,718,False,,,experiment_data
6,,0,0,win,212,False,,,experiment_data
7,,0,0,win,342,False,,,experiment_data
8,,0,0,loss,739,False,,,experiment_data
9,,0,0,win,403,False,,,experiment_data
10,,0,0,win,410,False,,,experiment_data
11,,0,0,win,542,False,,,experiment_data
12,,0,0,win,104,False,,,experiment_data
13,,0,0,win,571,False,,,experiment_data
14,,0,0,loss,194,False,,,experiment_data
15,,1,1,win,341,True,,,experiment_data
16,,1,1,win,418,False,,,experiment_data
17,,1,1,loss,380,False,,,experiment_data
18,,1,1,win,347,False,,,experiment_data
19,,1,1,win,109,False,,,experiment_data
20,,1,1,win,241,False,,,experiment_data
21,,1,1,loss,168,False,,,experiment_data
22,,1,1,win,201,False,,,experiment_data
23,,1,1,win,105,False,,,experiment_data
24,,0,1,loss,256,True,,,experiment_data
25,,0,1,loss,207,False,,,experiment_data
26,,0,0,win,442,False,,,experiment_data
27,,0,0,loss,131,False,,,experiment_data
28,,0,1,loss,355,False,,,experiment_data
29,,0,0,win,41,False,,,experiment_data
30,,0,0,win,429,False,,,experiment_data
31,,0,0,win,115,False,,,experiment_data
32,,0,0,win,152,False,,,experiment_data
33,,0,0,loss,92,False,,,experiment_data
34,,0,0,win,423,False,,,experiment_data
35,,0,0,win,163,False,,,experiment_data
36,,0,0,win,237,False,,,experiment_data
37,,0,0,loss,140,False,,,experiment_data
38,,0,1,loss,336,False,,,experiment_data
39,,1,1,loss,467,True,,,experiment_data
40,,1,0,loss,78,False,,,experiment_data
41,,1,0,loss,354,False,,,experiment_data
42,,1,1,win,140,False,,,experiment_data
43,,1,1,win,195,False,,,experiment_data
44,,1,1,loss,131,False,,,experiment_data
45,,1,0,loss,374,False,,,experiment_data
46,,1,1,win,77,False,,,experiment_data
47,,1,1,win,129,False,,,experiment_data
48,,1,1,win,337,False,,,experiment_data
49,,1,1,win,205,False,,,experiment_data
50,,1,1,win,751,False,,,experiment_data
1,,0,0,win,2371,False,,,experiment_data2
2,,0,0,win,471,False,,,experiment_data2
3,,0,0,win,310,False,,,experiment_data2
4,,0,0,loss,248,False,,,experiment_data2
5,,0,1,loss,718,False,,,experiment_data2
6,,0,0,win,212,False,,,experiment_data2
7,,0,0,win,342,False,,,experiment_data2
8,,0,0,loss,739,False,,,experiment_data2
9,,0,0,win,403,False,,,experiment_data2
10,,0,0,win,410,False,,,experiment_data2
11,,0,0,win,542,False,,,experiment_data2
12,,0,0,win,104,False,,,experiment_data2
13,,0,0,win,571,False,,,experiment_data2
14,,0,0,loss,194,False,,,experiment_data2
15,,1,1,win,341,True,,,experiment_data2
16,,1,1,win,418,False,,,experiment_data2
17,,1,1,loss,380,False,,,experiment_data2
18,,1,1,win,347,False,,,experiment_data2
19,,1,1,win,109,False,,,experiment_data2
20,,1,1,win,241,False,,,experiment_data2
21,,1,1,loss,168,False,,,experiment_data2
22,,1,1,win,201,False,,,experiment_data2
23,,1,1,win,105,False,,,experiment_data2
24,,0,1,loss,256,True,,,experiment_data2
25,,0,1,loss,207,False,,,experiment_data2
26,,0,0,win,442,False,,,experiment_data2
27,,0,0,loss,131,False,,,experiment_data2
28,,0,1,loss,355,False,,,experiment_data2
29,,0,0,win,41,False,,,experiment_data2
30,,0,0,win,429,False,,,experiment_data2
31,,0,0,win,115,False,,,experiment_data2
32,,0,0,win,152,False,,,experiment_data2
33,,0,0,loss,92,False,,,experiment_data2
34,,0,0,win,423,False,,,experiment_data2
35,,0,0,win,163,False,,,experiment_data2
36,,0,0,win,237,False,,,experiment_data2
37,,0,0,loss,140,False,,,experiment_data2
38,,0,1,loss,336,False,,,experiment_data2
39,,1,1,loss,467,True,,,experiment_data2
40,,1,0,loss,78,False,,,experiment_data2
41,,1,0,loss,354,False,,,experiment_data2
42,,1,1,win,140,False,,,experiment_data2
43,,1,1,win,195,False,,,experiment_data2
44,,1,1,loss,131,False,,,experiment_data2
45,,1,0,loss,374,False,,,experiment_data2
46,,1,1,win,77,False,,,experiment_data2
47,,1,1,win,129,False,,,experiment_data2
48,,1,1,win,337,False,,,experiment_data2
49,,1,1,win,205,False,,,experiment_data2
50,,1,1,win,751,False,,,experiment_data2
