participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
08d9887c,B,Instructions,1,block1,high_noise,0,win,4146,0,1,1,0.58,0.48
08d9887c,B,Instructions,2,block1,high_noise,0,win,2481,1,0,0,0.14,0.28
08d9887c,B,Instructions,3,block1,high_noise,0,win,2122,1,0,0,0.06,0.16
08d9887c,B,Instructions,4,block1,high_noise,0,loss,1308,1,0,1,0.02,0.08
08d9887c,B,Instructions,5,block1,high_noise,0,loss,1011,1,0,1,0.22,0.5
08d9887c,B,Instructions,6,block1,high_noise,0,win,1119,1,0,0,0.62,0.74
08d9887c,B,Instructions,7,block1,high_noise,0,loss,1444,1,0,1,0.18,0.38
08d9887c,B,Instructions,8,block1,high_noise,0,loss,1480,1,0,1,0.48,0.6
08d9887c,B,Instructions,9,block1,high_noise,0,win,3469,1,0,0,0.78,0.82
08d9887c,B,Instructions,10,block1,high_noise,0,win,536,1,0,0,0.42,0.44
08d9887c,B,Instructions,11,block1,high_noise,0,win,494,1,0,0,0.18,0.38
08d9887c,B,Instructions,12,block1,high_noise,0,win,571,1,0,0,0.16,0.12
08d9887c,B,Instructions,13,block1,high_noise,0,loss,500,1,0,1,0.1,0.06
08d9887c,B,Instructions,14,block1,high_noise,0,win,348,1,0,0,0.34,0.36
08d9887c,B,Instructions,15,block1,high_noise,0,win,355,1,0,0,0.16,0.1
08d9887c,B,Instructions,16,block1,high_noise,0,loss,315,1,0,1,0.04,0.1
08d9887c,B,Instructions,17,block1,high_noise,0,loss,354,1,0,1,0.2,0.24
08d9887c,B,Instructions,18,block1,high_noise,0,win,343,1,0,0,0.46,0.46
08d9887c,B,Instructions,19,block1,high_noise,0,loss,319,1,0,1,0.22,0.22
08d9887c,B,Instructions,20,block1,high_noise,0,win,321,1,0,0,0.46,0.46
08d9887c,B,Instructions,21,block1,high_noise,0,win,572,1,0,0,0.26,0.24
08d9887c,B,Instructions,22,block1,high_noise,0,win,317,1,0,0,0.18,0.2
08d9887c,B,Instructions,23,block1,high_noise,0,win,305,1,0,0,0.12,0.12
08d9887c,B,Instructions,24,block1,high_noise,0,win,289,1,0,0,0.08,0.1
08d9887c,B,Instructions,25,block1,high_noise,0,win,253,1,0,0,0.14,0.08
08d9887c,B,Instructions,26,block1,high_noise,0,loss,325,1,0,1,0.16,0.04
08d9887c,B,Instructions,27,block1,high_noise,0,win,531,1,0,0,0.22,0.22
08d9887c,B,Instructions,28,block1,high_noise,0,win,378,1,0,0,0.06,0.1
08d9887c,B,Instructions,29,block1,high_noise,0,win,267,1,0,0,0.1,0.1
08d9887c,B,Instructions,30,block1,high_noise,0,win,350,1,0,0,0.12,0.04
08d9887c,B,Instructions,31,block1,high_noise,0,loss,357,1,0,1,0.06,0.12
08d9887c,B,Instructions,32,block1,high_noise,0,win,359,1,0,0,0.24,0.14
08d9887c,B,Instructions,33,block1,high_noise,0,win,372,1,0,0,0.18,0.06
