participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
1671e99c,B,Instructions,1,block1,high_noise,0,loss,4324,0,1,0,0.58,0.48
1671e99c,B,Instructions,2,block1,high_noise,1,win,2532,1,1,0,0.86,0.72
1671e99c,B,Instructions,3,block1,high_noise,1,loss,4732,1,1,1,0.9,0.84
1671e99c,B,Instructions,4,block1,high_noise,0,win,1169,0,1,1,0.62,0.42
1671e99c,B,Instructions,5,block1,high_noise,1,win,1896,1,1,0,0.3,0.28
1671e99c,B,Instructions,6,block1,high_noise,0,loss,866,0,1,0,0.6,0.52
1671e99c,B,Instructions,7,block1,high_noise,1,loss,2161,1,1,1,0.92,0.78
1671e99c,B,Instructions,8,block1,high_noise,0,loss,1037,0,1,0,0.42,0.46
1671e99c,B,Instructions,9,block1,high_noise,0,win,938,0,1,1,0.8,0.68
1671e99c,B,Instructions,10,block1,high_noise,0,loss,946,0,1,0,0.62,0.5
1671e99c,B,Instructions,11,block1,high_noise,1,win,667,1,1,0,0.7,0.76
1671e99c,B,Instructions,12,block1,high_noise,1,win,869,1,1,0,0.88,0.78
1671e99c,B,Instructions,13,block1,high_noise,1,loss,880,1,1,1,0.9,0.84
1671e99c,B,Instructions,14,block1,high_noise,0,win,704,0,1,1,0.88,0.64
1671e99c,B,Instructions,15,block1,high_noise,1,win,624,1,1,0,0.64,0.5
1671e99c,B,Instructions,16,block1,high_noise,1,win,665,1,1,0,0.76,0.74
1671e99c,B,Instructions,17,block1,high_noise,1,win,439,1,1,0,0.86,0.74
1671e99c,B,Instructions,18,block1,high_noise,1,win,395,1,1,0,0.84,0.88
1671e99c,B,Instructions,19,block1,high_noise,1,win,474,1,1,0,0.92,0.88
1671e99c,B,Instructions,20,block1,high_noise,1,win,734,1,1,0,0.96,0.88
1671e99c,B,Instructions,21,block1,high_noise,1,win,112,1,1,0,0.9,0.88
1671e99c,B,Instructions,22,block1,high_noise,1,loss,325,1,1,1,0.92,0.96
1671e99c,B,Instructions,23,block1,high_noise,0,loss,240,0,1,0,0.86,0.82
1671e99c,B,Instructions,24,block1,high_noise,1,win,388,1,1,0,0.82,0.88
1671e99c,B,Instructions,25,block1,high_noise,1,win,162,1,1,0,0.8,0.94
1671e99c,B,Instructions,26,block1,high_noise,1,win,216,1,1,0,0.84,0.92
1671e99c,B,Instructions,27,block1,high_noise,1,win,248,1,1,0,0.92,1.0
1671e99c,B,Instructions,28,block1,high_noise,1,win,352,1,1,0,0.94,0.88
1671e99c,B,Instructions,29,block1,high_noise,1,win,312,1,1,0,0.96,0.98
1671e99c,B,Instructions,30,block1,high_noise,1,win,318,1,1,0,0.92,0.96
1671e99c,B,Instructions,31,block1,high_noise,1,loss,209,1,1,1,0.92,0.96
1671e99c,B,Instructions,32,block1,high_noise,0,win,164,0,1,1,0.84,0.92
1671e99c,B,Instructions,33,block1,high_noise,1,loss,301,1,1,1,0.7,0.82
1671e99c,B,Instructions,34,block1,high_noise,0,loss,65,0,1,0,0.32,0.5
1671e99c,B,Instructions,35,block1,high_noise,1,win,2,1,1,0,0.58,0.86
1671e99c,B,Instructions,36,block1,high_noise,1,win,379,1,1,0,0.88,0.92
1671e99c,B,Instructions,37,block1,high_noise,1,win,235,1,1,0,0.88,0.92
1671e99c,B,Instructions,38,block1,high_noise,1,loss,333,0,0,0,0.9,0.96
1671e99c,B,Instructions,39,block1,high_noise,0,win,344,1,0,0,0.76,0.88
1671e99c,B,Instructions,40,block1,high_noise,1,loss,278,0,0,0,0.44,0.72
1671e99c,B,Instructions,41,block1,high_noise,1,loss,434,0,0,0,0.2,0.46
1671e99c,B,Instructions,42,block1,high_noise,0,win,87,1,0,0,0.14,0.42
1671e99c,B,Instructions,43,block1,high_noise,0,win,506,1,0,0,0.18,0.14
1671e99c,B,Instructions,44,block1,high_noise,0,loss,366,1,0,1,0.12,0.22
1671e99c,B,Instructions,45,block1,high_noise,1,loss,513,0,0,0,0.44,0.44
1671e99c,B,Instructions,46,block1,high_noise,0,loss,99,1,0,1,0.08,0.26
1671e99c,B,Instructions,47,block1,high_noise,1,loss,9,0,0,0,0.5,0.46
1671e99c,B,Instructions,48,block1,high_noise,0,win,831,1,0,0,0.22,0.3
1671e99c,B,Instructions,49,block1,high_noise,0,win,447,1,0,0,0.12,0.1
1671e99c,B,Instructions,50,block1,high_noise,0,loss,403,1,0,1,0.1,0.2
1671e99c,B,Instructions,1,block2,medium_noise,0,loss,5854,0,1,0,0.38,0.26
1671e99c,B,Instructions,2,block2,medium_noise,1,win,1464,1,1,0,0.62,0.68
1671e99c,B,Instructions,3,block2,medium_noise,1,win,2105,1,1,0,0.88,0.84
1671e99c,B,Instructions,4,block2,medium_noise,1,win,940,1,1,0,0.86,0.88
1671e99c,B,Instructions,5,block2,medium_noise,1,win,680,1,1,0,0.8,0.92
1671e99c,B,Instructions,6,block2,medium_noise,1,win,531,1,1,0,0.96,0.94
1671e99c,B,Instructions,7,block2,medium_noise,1,win,441,1,1,0,0.86,0.86
1671e99c,B,Instructions,8,block2,medium_noise,1,win,455,1,1,0,0.98,0.92
1671e99c,B,Instructions,9,block2,medium_noise,1,win,372,1,1,0,0.92,0.96
1671e99c,B,Instructions,10,block2,medium_noise,1,win,292,1,1,0,0.88,0.98
1671e99c,B,Instructions,11,block2,medium_noise,1,win,414,1,1,0,0.94,0.94
1671e99c,B,Instructions,12,block2,medium_noise,1,win,376,1,1,0,0.9,1.0
1671e99c,B,Instructions,13,block2,medium_noise,1,win,338,1,1,0,0.88,0.98
1671e99c,B,Instructions,14,block2,medium_noise,1,loss,338,0,0,0,0.98,0.92
1671e99c,B,Instructions,15,block2,medium_noise,0,win,414,1,0,0,0.82,0.86
1671e99c,B,Instructions,16,block2,medium_noise,1,loss,36,0,0,0,0.48,0.62
1671e99c,B,Instructions,17,block2,medium_noise,0,win,141,1,0,0,0.1,0.32
1671e99c,B,Instructions,18,block2,medium_noise,0,win,367,1,0,0,0.18,0.2
1671e99c,B,Instructions,19,block2,medium_noise,0,win,387,1,0,0,0.04,0.2
1671e99c,B,Instructions,20,block2,medium_noise,0,loss,298,1,0,1,0.06,0.04
1671e99c,B,Instructions,21,block2,medium_noise,1,loss,123,0,0,0,0.38,0.26
1671e99c,B,Instructions,22,block2,medium_noise,0,win,182,1,0,0,0.18,0.18
1671e99c,B,Instructions,23,block2,medium_noise,0,loss,440,0,1,0,0.04,0.06
1671e99c,B,Instructions,24,block2,medium_noise,1,win,51,1,1,0,0.42,0.38
1671e99c,B,Instructions,25,block2,medium_noise,1,loss,585,1,1,1,0.8,0.72
1671e99c,B,Instructions,26,block2,medium_noise,0,loss,36,0,1,0,0.32,0.36
1671e99c,B,Instructions,27,block2,medium_noise,1,loss,83,0,0,0,0.72,0.78
1671e99c,B,Instructions,28,block2,medium_noise,1,loss,572,0,0,0,0.2,0.4
