participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
22a6875c,A,No Instructions,1,block1,medium_noise,0,win,3987,1,0,0,0.58,0.48
22a6875c,A,No Instructions,2,block1,medium_noise,1,win,3351,0,0,1,0.14,0.28
22a6875c,A,No Instructions,3,block1,medium_noise,1,loss,1507,0,0,0,0.6,0.6
22a6875c,A,No Instructions,4,block1,medium_noise,0,win,1923,1,0,0,0.16,0.3
22a6875c,A,No Instructions,5,block1,medium_noise,0,loss,2089,1,0,1,0.16,0.14
22a6875c,A,No Instructions,6,block1,medium_noise,0,win,1910,1,0,0,0.2,0.44
22a6875c,A,No Instructions,7,block1,medium_noise,0,win,2512,1,0,0,0.2,0.16
22a6875c,A,No Instructions,8,block1,medium_noise,1,loss,939,0,0,0,0.14,0.06
22a6875c,A,No Instructions,9,block1,medium_noise,0,win,511,1,0,0,0.08,0.06
22a6875c,A,No Instructions,10,block1,medium_noise,0,loss,1364,1,0,1,0.12,0.12
22a6875c,A,No Instructions,11,block1,medium_noise,1,win,542,0,0,1,0.08,0.22
22a6875c,A,No Instructions,12,block1,medium_noise,1,win,941,0,0,1,0.42,0.54
22a6875c,A,No Instructions,13,block1,medium_noise,0,win,1301,1,0,0,0.74,0.68
22a6875c,A,No Instructions,14,block1,medium_noise,0,win,2105,1,0,0,0.38,0.56
22a6875c,A,No Instructions,15,block1,medium_noise,1,loss,2296,0,0,0,0.18,0.32
22a6875c,A,No Instructions,16,block1,medium_noise,1,loss,1008,0,0,0,0.06,0.12
22a6875c,A,No Instructions,17,block1,medium_noise,0,win,2919,1,0,0,0.12,0.06
22a6875c,A,No Instructions,18,block1,medium_noise,0,loss,1206,1,0,1,0.06,0.06
22a6875c,A,No Instructions,19,block1,medium_noise,1,loss,761,0,0,0,0.24,0.16
22a6875c,A,No Instructions,20,block1,medium_noise,1,loss,375,1,1,1,0.12,0.24
22a6875c,A,No Instructions,21,block1,medium_noise,1,win,393,1,1,0,0.14,0.08
22a6875c,A,No Instructions,22,block1,medium_noise,0,loss,637,0,1,0,0.22,0.2
22a6875c,A,No Instructions,23,block1,medium_noise,1,loss,309,0,0,0,0.44,0.38
22a6875c,A,No Instructions,24,block1,medium_noise,0,win,283,1,0,0,0.14,0.16
22a6875c,A,No Instructions,25,block1,medium_noise,0,loss,502,1,0,1,0.26,0.06
22a6875c,A,No Instructions,26,block1,medium_noise,0,win,490,1,0,0,0.32,0.28
22a6875c,A,No Instructions,27,block1,medium_noise,0,win,593,1,0,0,0.16,0.2
22a6875c,A,No Instructions,28,block1,medium_noise,1,loss,430,0,0,0,0.06,0.14
22a6875c,A,No Instructions,29,block1,medium_noise,0,win,277,1,0,0,0.08,0.06
22a6875c,A,No Instructions,30,block1,medium_noise,1,win,1028,0,0,1,0.1,0.08
22a6875c,A,No Instructions,31,block1,medium_noise,1,loss,543,0,0,0,0.24,0.02
22a6875c,A,No Instructions,32,block1,medium_noise,0,win,109,1,0,0,0.08,0.1
