participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
42003269,B,Instructions,1,block1,high_noise,0,loss,4584,0,1,0,0.58,0.48
42003269,B,Instructions,2,block1,high_noise,0,loss,1541,0,1,0,0.86,0.72
42003269,B,Instructions,3,block1,high_noise,0,win,1358,0,1,1,0.9,0.84
42003269,B,Instructions,4,block1,high_noise,0,win,642,0,1,1,0.62,0.42
42003269,B,Instructions,5,block1,high_noise,0,loss,670,0,1,0,0.3,0.28
42003269,B,Instructions,6,block1,high_noise,0,loss,582,0,1,0,0.6,0.52
42003269,B,Instructions,7,block1,high_noise,0,win,425,0,1,1,0.92,0.78
42003269,B,Instructions,8,block1,high_noise,0,loss,1786,0,1,0,0.42,0.46
42003269,B,Instructions,9,block1,high_noise,0,loss,471,0,1,0,0.8,0.68
42003269,B,Instructions,10,block1,high_noise,0,loss,345,0,1,0,0.86,0.8
42003269,B,Instructions,11,block1,high_noise,0,loss,364,0,1,0,1.0,0.8
42003269,B,Instructions,12,block1,high_noise,1,win,356,1,1,0,0.94,0.88
42003269,B,Instructions,13,block1,high_noise,1,win,522,1,1,0,0.9,0.88
42003269,B,Instructions,14,block1,high_noise,1,win,224,1,1,0,0.96,0.9
42003269,B,Instructions,15,block1,high_noise,1,win,174,1,1,0,0.9,0.98
42003269,B,Instructions,16,block1,high_noise,1,win,264,1,1,0,0.94,0.92
42003269,B,Instructions,17,block1,high_noise,1,loss,250,1,1,1,0.96,0.94
42003269,B,Instructions,18,block1,high_noise,1,win,454,1,1,0,0.88,0.76
42003269,B,Instructions,19,block1,high_noise,1,loss,153,1,1,1,0.94,0.96
42003269,B,Instructions,20,block1,high_noise,1,win,286,1,1,0,0.82,0.74
42003269,B,Instructions,21,block1,high_noise,1,loss,67,1,1,1,0.88,0.82
42003269,B,Instructions,22,block1,high_noise,1,loss,187,1,1,1,0.64,0.66
42003269,B,Instructions,23,block1,high_noise,0,loss,373,0,1,0,0.5,0.42
42003269,B,Instructions,24,block1,high_noise,0,win,500,0,1,1,0.64,0.86
42003269,B,Instructions,25,block1,high_noise,0,loss,148,0,1,0,0.48,0.58
42003269,B,Instructions,26,block1,high_noise,0,win,174,0,1,1,0.8,0.72
42003269,B,Instructions,27,block1,high_noise,0,loss,208,0,1,0,0.56,0.64
42003269,B,Instructions,28,block1,high_noise,0,loss,184,0,1,0,0.82,0.8
42003269,B,Instructions,29,block1,high_noise,0,loss,938,0,1,0,0.84,0.82
42003269,B,Instructions,30,block1,high_noise,1,loss,142,0,0,0,0.94,0.96
42003269,B,Instructions,31,block1,high_noise,0,win,339,1,0,0,0.78,0.86
42003269,B,Instructions,32,block1,high_noise,0,win,274,1,0,0,0.4,0.72
42003269,B,Instructions,33,block1,high_noise,0,loss,130,1,0,1,0.34,0.4
42003269,B,Instructions,34,block1,high_noise,0,win,415,1,0,0,0.48,0.8
42003269,B,Instructions,35,block1,high_noise,0,win,124,1,0,0,0.32,0.48
42003269,B,Instructions,36,block1,high_noise,0,win,230,1,0,0,0.26,0.22
42003269,B,Instructions,37,block1,high_noise,0,win,199,1,0,0,0.24,0.18
42003269,B,Instructions,38,block1,high_noise,0,win,206,1,0,0,0.1,0.1
42003269,B,Instructions,39,block1,high_noise,0,win,199,1,0,0,0.1,0.2
42003269,B,Instructions,40,block1,high_noise,0,win,195,1,0,0,0.08,0.08
42003269,B,Instructions,41,block1,high_noise,0,loss,202,1,0,1,0.1,0.08
42003269,B,Instructions,42,block1,high_noise,1,win,250,0,0,1,0.14,0.26
42003269,B,Instructions,43,block1,high_noise,1,loss,409,0,0,0,0.58,0.58
42003269,B,Instructions,44,block1,high_noise,0,loss,355,1,0,1,0.24,0.16
42003269,B,Instructions,45,block1,high_noise,0,win,148,1,0,0,0.32,0.56
42003269,B,Instructions,46,block1,high_noise,0,loss,125,1,0,1,0.16,0.28
42003269,B,Instructions,47,block1,high_noise,0,win,103,1,0,0,0.42,0.58
42003269,B,Instructions,48,block1,high_noise,0,win,108,1,0,0,0.3,0.3
42003269,B,Instructions,49,block1,high_noise,0,win,66,1,0,0,0.26,0.2
42003269,B,Instructions,50,block1,high_noise,0,win,105,1,0,0,0.16,0.28
42003269,B,Instructions,1,block2,medium_noise,0,loss,3983,0,1,0,0.06,0.12
42003269,B,Instructions,2,block2,medium_noise,0,loss,298,0,1,0,0.26,0.16
42003269,B,Instructions,3,block2,medium_noise,0,loss,317,0,1,0,0.48,0.42
42003269,B,Instructions,4,block2,medium_noise,0,loss,373,0,1,0,0.54,0.76
42003269,B,Instructions,5,block2,medium_noise,1,loss,127,1,1,1,0.82,0.86
42003269,B,Instructions,6,block2,medium_noise,0,loss,979,0,1,0,0.58,0.58
42003269,B,Instructions,7,block2,medium_noise,0,loss,478,0,1,0,0.72,0.74
42003269,B,Instructions,8,block2,medium_noise,0,loss,142,0,1,0,0.72,0.86
42003269,B,Instructions,9,block2,medium_noise,1,loss,140,0,0,0,0.96,0.92
42003269,B,Instructions,10,block2,medium_noise,0,win,291,1,0,0,0.66,0.74
42003269,B,Instructions,11,block2,medium_noise,0,win,123,1,0,0,0.46,0.48
42003269,B,Instructions,12,block2,medium_noise,0,loss,72,1,0,1,0.2,0.3
42003269,B,Instructions,13,block2,medium_noise,1,loss,71,0,0,0,0.5,0.56
42003269,B,Instructions,14,block2,medium_noise,1,loss,150,0,0,0,0.44,0.36
42003269,B,Instructions,15,block2,medium_noise,0,loss,127,1,0,1,0.26,0.14
42003269,B,Instructions,16,block2,medium_noise,1,loss,351,0,0,0,0.46,0.46
