participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
4b7a6ad7,B,Instructions,1,block1,medium_noise,1,loss,4489,0,0,0,0.58,0.48
4b7a6ad7,B,Instructions,2,block1,medium_noise,0,win,3579,1,0,0,0.14,0.28
4b7a6ad7,B,Instructions,3,block1,medium_noise,0,win,2547,1,0,0,0.06,0.16
4b7a6ad7,B,Instructions,4,block1,medium_noise,0,win,1398,1,0,0,0.02,0.08
4b7a6ad7,B,Instructions,5,block1,medium_noise,0,win,1402,1,0,0,0.06,0.04
4b7a6ad7,B,Instructions,6,block1,medium_noise,0,win,725,1,0,0,0.02,0.0
4b7a6ad7,B,Instructions,7,block1,medium_noise,0,win,774,1,0,0,0.06,0.06
4b7a6ad7,B,Instructions,8,block1,medium_noise,0,win,753,1,0,0,0.04,0.06
4b7a6ad7,B,Instructions,9,block1,medium_noise,0,win,592,1,0,0,0.04,0.02
4b7a6ad7,B,Instructions,10,block1,medium_noise,0,loss,607,1,0,1,0.06,0.06
4b7a6ad7,B,Instructions,11,block1,medium_noise,1,win,627,0,0,1,0.28,0.14
4b7a6ad7,B,Instructions,12,block1,medium_noise,1,loss,529,0,0,0,0.8,0.62
4b7a6ad7,B,Instructions,13,block1,medium_noise,0,win,323,1,0,0,0.2,0.16
4b7a6ad7,B,Instructions,14,block1,medium_noise,1,loss,986,0,0,0,0.06,0.16
4b7a6ad7,B,Instructions,15,block1,medium_noise,0,win,164,1,0,0,0.06,0.08
4b7a6ad7,B,Instructions,16,block1,medium_noise,0,win,1126,1,0,0,0.04,0.08
4b7a6ad7,B,Instructions,17,block1,medium_noise,0,win,658,1,0,0,0.02,0.02
4b7a6ad7,B,Instructions,18,block1,medium_noise,0,win,653,1,0,0,0.04,0.02
4b7a6ad7,B,Instructions,19,block1,medium_noise,0,win,655,1,0,0,0.06,0.08
4b7a6ad7,B,Instructions,20,block1,medium_noise,0,win,644,1,0,0,0.1,0.08
4b7a6ad7,B,Instructions,21,block1,medium_noise,0,win,835,1,0,0,0.04,0.04
4b7a6ad7,B,Instructions,22,block1,medium_noise,0,win,574,1,0,0,0.06,0.12
4b7a6ad7,B,Instructions,23,block1,medium_noise,0,win,830,1,0,0,0.12,0.04
4b7a6ad7,B,Instructions,24,block1,medium_noise,0,win,654,1,0,0,0.16,0.02
4b7a6ad7,B,Instructions,25,block1,medium_noise,0,win,625,1,0,0,0.06,0.04
4b7a6ad7,B,Instructions,26,block1,medium_noise,0,win,607,1,0,0,0.02,0.06
4b7a6ad7,B,Instructions,27,block1,medium_noise,0,win,641,1,0,0,0.04,0.06
4b7a6ad7,B,Instructions,28,block1,medium_noise,0,loss,579,0,1,0,0.06,0.02
4b7a6ad7,B,Instructions,29,block1,medium_noise,1,win,559,1,1,0,0.32,0.16
4b7a6ad7,B,Instructions,30,block1,medium_noise,0,win,621,0,1,1,0.84,0.52
4b7a6ad7,B,Instructions,31,block1,medium_noise,0,loss,578,0,1,0,0.2,0.12
4b7a6ad7,B,Instructions,32,block1,medium_noise,1,win,482,1,1,0,0.7,0.44
4b7a6ad7,B,Instructions,33,block1,medium_noise,0,win,466,0,1,1,0.88,0.54
4b7a6ad7,B,Instructions,34,block1,medium_noise,0,loss,589,0,1,0,0.42,0.08
4b7a6ad7,B,Instructions,35,block1,medium_noise,0,win,1340,0,1,1,0.86,0.6
4b7a6ad7,B,Instructions,36,block1,medium_noise,0,loss,450,0,1,0,0.24,0.2
4b7a6ad7,B,Instructions,37,block1,medium_noise,1,loss,498,1,1,1,0.7,0.5
4b7a6ad7,B,Instructions,38,block1,medium_noise,0,loss,307,0,1,0,0.4,0.16
4b7a6ad7,B,Instructions,39,block1,medium_noise,0,win,976,0,1,1,0.72,0.7
4b7a6ad7,B,Instructions,40,block1,medium_noise,0,loss,866,0,1,0,0.26,0.2
4b7a6ad7,B,Instructions,41,block1,medium_noise,0,win,1045,0,1,1,0.64,0.62
4b7a6ad7,B,Instructions,42,block1,medium_noise,1,win,512,1,1,0,0.26,0.24
4b7a6ad7,B,Instructions,43,block1,medium_noise,1,win,1104,1,1,0,0.64,0.54
4b7a6ad7,B,Instructions,44,block1,medium_noise,0,loss,1020,0,1,0,0.84,0.92
4b7a6ad7,B,Instructions,45,block1,medium_noise,1,win,388,1,1,0,0.94,0.98
4b7a6ad7,B,Instructions,46,block1,medium_noise,1,win,689,1,1,0,0.92,1.0
4b7a6ad7,B,Instructions,47,block1,medium_noise,1,win,704,1,1,0,0.86,0.92
4b7a6ad7,B,Instructions,48,block1,medium_noise,1,win,1501,1,1,0,0.84,0.94
4b7a6ad7,B,Instructions,49,block1,medium_noise,1,win,1286,1,1,0,0.96,0.94
4b7a6ad7,B,Instructions,50,block1,medium_noise,1,win,644,1,1,0,0.86,0.98
4b7a6ad7,B,Instructions,1,block2,high_noise,1,loss,2243,0,0,0,0.92,0.94
4b7a6ad7,B,Instructions,2,block2,high_noise,0,win,384,1,0,0,0.78,0.78
4b7a6ad7,B,Instructions,3,block2,high_noise,0,win,500,1,0,0,0.28,0.38
4b7a6ad7,B,Instructions,4,block2,high_noise,0,win,461,1,0,0,0.2,0.18
4b7a6ad7,B,Instructions,5,block2,high_noise,0,win,689,1,0,0,0.08,0.1
4b7a6ad7,B,Instructions,6,block2,high_noise,0,loss,497,1,0,1,0.06,0.0
4b7a6ad7,B,Instructions,7,block2,high_noise,1,win,544,0,0,1,0.36,0.34
4b7a6ad7,B,Instructions,8,block2,high_noise,0,loss,846,1,0,1,0.74,0.78
4b7a6ad7,B,Instructions,9,block2,high_noise,1,loss,323,0,0,0,0.84,0.88
4b7a6ad7,B,Instructions,10,block2,high_noise,0,win,1044,1,0,0,0.32,0.3
4b7a6ad7,B,Instructions,11,block2,high_noise,0,loss,591,1,0,1,0.12,0.16
4b7a6ad7,B,Instructions,12,block2,high_noise,1,win,434,0,0,1,0.62,0.54
4b7a6ad7,B,Instructions,13,block2,high_noise,0,win,708,1,0,0,0.78,0.9
4b7a6ad7,B,Instructions,14,block2,high_noise,1,win,818,1,1,0,0.42,0.42
4b7a6ad7,B,Instructions,15,block2,high_noise,0,loss,563,0,1,0,0.84,0.86
4b7a6ad7,B,Instructions,16,block2,high_noise,1,win,260,1,1,0,0.9,0.84
4b7a6ad7,B,Instructions,17,block2,high_noise,1,loss,688,0,0,0,0.84,0.96
4b7a6ad7,B,Instructions,18,block2,high_noise,0,win,550,1,0,0,0.58,0.74
4b7a6ad7,B,Instructions,19,block2,high_noise,0,loss,577,1,0,1,0.32,0.3
4b7a6ad7,B,Instructions,20,block2,high_noise,1,loss,323,0,0,0,0.78,0.7
4b7a6ad7,B,Instructions,21,block2,high_noise,0,loss,383,1,0,1,0.46,0.26
4b7a6ad7,B,Instructions,22,block2,high_noise,0,win,433,1,0,0,0.64,0.7
4b7a6ad7,B,Instructions,23,block2,high_noise,0,win,308,1,0,0,0.3,0.2
4b7a6ad7,B,Instructions,24,block2,high_noise,0,win,309,1,0,0,0.2,0.16
4b7a6ad7,B,Instructions,25,block2,high_noise,0,win,548,1,0,0,0.14,0.04
4b7a6ad7,B,Instructions,26,block2,high_noise,0,win,467,1,0,0,0.12,0.06
4b7a6ad7,B,Instructions,27,block2,high_noise,0,win,543,1,0,0,0.1,0.08
4b7a6ad7,B,Instructions,28,block2,high_noise,0,win,529,1,0,0,0.14,0.04
4b7a6ad7,B,Instructions,29,block2,high_noise,0,win,530,1,0,0,0.12,0.08
4b7a6ad7,B,Instructions,30,block2,high_noise,0,win,561,1,0,0,0.14,0.02
4b7a6ad7,B,Instructions,31,block2,high_noise,0,win,512,1,0,0,0.12,0.08
4b7a6ad7,B,Instructions,32,block2,high_noise,0,win,560,1,0,0,0.08,0.02
4b7a6ad7,B,Instructions,33,block2,high_noise,0,win,500,1,0,0,0.14,0.04
