participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
534d2332,B,Instructions,1,block1,high_noise,1,loss,10469,0,0,0,0.58,0.48
534d2332,B,Instructions,2,block1,high_noise,1,loss,4152,0,0,0,0.14,0.28
534d2332,B,Instructions,3,block1,high_noise,0,win,2963,1,0,0,0.06,0.16
534d2332,B,Instructions,4,block1,high_noise,0,win,1855,1,0,0,0.02,0.08
534d2332,B,Instructions,5,block1,high_noise,0,win,1390,1,0,0,0.06,0.04
534d2332,B,Instructions,6,block1,high_noise,0,win,2680,1,0,0,0.02,0.0
534d2332,B,Instructions,7,block1,high_noise,0,win,2426,1,0,0,0.06,0.06
534d2332,B,Instructions,8,block1,high_noise,0,win,854,1,0,0,0.04,0.06
534d2332,B,Instructions,9,block1,high_noise,1,loss,1606,0,0,0,0.04,0.02
534d2332,B,Instructions,10,block1,high_noise,0,win,762,1,0,0,0.06,0.06
534d2332,B,Instructions,11,block1,high_noise,0,loss,1287,1,0,1,0.14,0.1
534d2332,B,Instructions,12,block1,high_noise,1,loss,796,0,0,0,0.22,0.1
534d2332,B,Instructions,13,block1,high_noise,1,loss,855,0,0,0,0.08,0.08
534d2332,B,Instructions,14,block1,high_noise,1,loss,1082,0,0,0,0.04,0.04
534d2332,B,Instructions,15,block1,high_noise,0,win,1287,1,0,0,0.02,0.06
534d2332,B,Instructions,16,block1,high_noise,0,loss,816,1,0,1,0.04,0.06
534d2332,B,Instructions,17,block1,high_noise,1,loss,286,0,0,0,0.2,0.2
534d2332,B,Instructions,18,block1,high_noise,1,loss,736,0,0,0,0.06,0.06
534d2332,B,Instructions,19,block1,high_noise,0,win,318,1,0,0,0.02,0.0
534d2332,B,Instructions,20,block1,high_noise,1,win,206,1,1,0,0.0,0.06
534d2332,B,Instructions,21,block1,high_noise,0,loss,549,0,1,0,0.16,0.04
534d2332,B,Instructions,22,block1,high_noise,1,win,456,1,1,0,0.52,0.32
534d2332,B,Instructions,23,block1,high_noise,1,win,592,1,1,0,0.9,0.74
534d2332,B,Instructions,24,block1,high_noise,1,win,636,1,1,0,0.98,0.9
534d2332,B,Instructions,25,block1,high_noise,1,win,608,1,1,0,0.92,0.94
534d2332,B,Instructions,26,block1,high_noise,1,win,658,1,1,0,0.92,0.88
534d2332,B,Instructions,27,block1,high_noise,1,win,607,1,1,0,0.92,0.92
534d2332,B,Instructions,28,block1,high_noise,1,win,661,1,1,0,0.98,0.96
534d2332,B,Instructions,29,block1,high_noise,1,win,580,1,1,0,1.0,0.96
534d2332,B,Instructions,30,block1,high_noise,1,win,622,1,1,0,0.94,0.94
534d2332,B,Instructions,31,block1,high_noise,1,win,700,1,1,0,0.92,0.96
534d2332,B,Instructions,32,block1,high_noise,1,loss,612,1,1,1,0.92,0.96
534d2332,B,Instructions,33,block1,high_noise,0,win,682,0,1,1,0.8,0.84
534d2332,B,Instructions,34,block1,high_noise,0,loss,592,0,1,0,0.16,0.46
534d2332,B,Instructions,35,block1,high_noise,1,loss,622,1,1,1,0.74,0.9
534d2332,B,Instructions,36,block1,high_noise,1,loss,572,1,1,1,0.26,0.32
534d2332,B,Instructions,37,block1,high_noise,1,win,697,1,1,0,0.1,0.14
534d2332,B,Instructions,38,block1,high_noise,1,win,663,1,1,0,0.7,0.56
534d2332,B,Instructions,39,block1,high_noise,1,win,584,1,1,0,0.88,0.88
534d2332,B,Instructions,40,block1,high_noise,1,win,599,1,1,0,0.96,0.94
534d2332,B,Instructions,41,block1,high_noise,1,win,599,1,1,0,0.88,0.98
534d2332,B,Instructions,42,block1,high_noise,1,win,516,1,1,0,0.92,0.98
534d2332,B,Instructions,43,block1,high_noise,1,win,598,1,1,0,0.86,0.94
534d2332,B,Instructions,44,block1,high_noise,1,win,447,1,1,0,0.94,0.96
534d2332,B,Instructions,45,block1,high_noise,1,loss,633,1,1,1,0.92,0.96
534d2332,B,Instructions,46,block1,high_noise,0,win,1177,1,0,0,0.6,0.9
534d2332,B,Instructions,47,block1,high_noise,0,loss,571,1,0,1,0.1,0.46
534d2332,B,Instructions,48,block1,high_noise,1,loss,276,0,0,0,0.76,0.86
534d2332,B,Instructions,49,block1,high_noise,1,win,668,0,0,1,0.14,0.34
534d2332,B,Instructions,50,block1,high_noise,1,win,572,0,0,1,0.82,0.86
534d2332,B,Instructions,1,block2,medium_noise,1,loss,3369,0,0,0,0.84,0.94
534d2332,B,Instructions,2,block2,medium_noise,0,loss,1786,1,0,1,0.4,0.58
534d2332,B,Instructions,3,block2,medium_noise,1,loss,673,0,0,0,0.8,0.92
534d2332,B,Instructions,4,block2,medium_noise,1,loss,641,0,0,0,0.42,0.64
534d2332,B,Instructions,5,block2,medium_noise,1,loss,649,0,0,0,0.16,0.28
534d2332,B,Instructions,6,block2,medium_noise,0,win,1437,1,0,0,0.06,0.22
534d2332,B,Instructions,7,block2,medium_noise,0,win,603,1,0,0,0.12,0.04
534d2332,B,Instructions,8,block2,medium_noise,0,win,652,1,0,0,0.1,0.02
534d2332,B,Instructions,9,block2,medium_noise,1,loss,572,0,0,0,0.04,0.04
534d2332,B,Instructions,10,block2,medium_noise,1,loss,1193,0,0,0,0.08,0.04
534d2332,B,Instructions,11,block2,medium_noise,1,win,720,0,0,1,0.14,0.06
534d2332,B,Instructions,12,block2,medium_noise,1,win,651,0,0,1,0.48,0.36
534d2332,B,Instructions,13,block2,medium_noise,1,loss,582,0,0,0,0.78,0.72
534d2332,B,Instructions,14,block2,medium_noise,0,win,543,1,0,0,0.24,0.26
534d2332,B,Instructions,15,block2,medium_noise,1,loss,548,0,0,0,0.1,0.14
534d2332,B,Instructions,16,block2,medium_noise,0,loss,297,1,0,1,0.08,0.08
534d2332,B,Instructions,17,block2,medium_noise,1,loss,401,0,0,0,0.42,0.38
534d2332,B,Instructions,18,block2,medium_noise,1,loss,520,0,0,0,0.1,0.16
534d2332,B,Instructions,19,block2,medium_noise,1,loss,1867,0,0,0,0.14,0.1
534d2332,B,Instructions,20,block2,medium_noise,1,win,793,0,0,1,0.1,0.06
534d2332,B,Instructions,21,block2,medium_noise,1,loss,713,0,0,0,0.52,0.2
534d2332,B,Instructions,22,block2,medium_noise,0,win,828,0,1,1,0.12,0.12
534d2332,B,Instructions,23,block2,medium_noise,0,loss,579,0,1,0,0.2,0.1
534d2332,B,Instructions,24,block2,medium_noise,1,win,663,0,0,1,0.4,0.34
534d2332,B,Instructions,25,block2,medium_noise,1,loss,747,0,0,0,0.74,0.68
534d2332,B,Instructions,26,block2,medium_noise,0,win,372,1,0,0,0.24,0.26
534d2332,B,Instructions,27,block2,medium_noise,0,win,539,1,0,0,0.18,0.14
534d2332,B,Instructions,28,block2,medium_noise,0,loss,706,1,0,1,0.14,0.14
534d2332,B,Instructions,29,block2,medium_noise,0,win,667,1,0,0,0.44,0.24
534d2332,B,Instructions,30,block2,medium_noise,0,win,634,1,0,0,0.16,0.14
534d2332,B,Instructions,31,block2,medium_noise,1,loss,860,0,0,0,0.1,0.08
534d2332,B,Instructions,32,block2,medium_noise,1,loss,627,0,0,0,0.08,0.04
534d2332,B,Instructions,33,block2,medium_noise,1,loss,605,0,0,0,0.06,0.1
534d2332,B,Instructions,34,block2,medium_noise,1,loss,593,0,0,0,0.08,0.02
534d2332,B,Instructions,35,block2,medium_noise,1,loss,2113,0,0,0,0.04,0.08
534d2332,B,Instructions,36,block2,medium_noise,0,loss,813,1,0,1,0.02,0.1
534d2332,B,Instructions,37,block2,medium_noise,1,loss,53,0,0,0,0.34,0.12
534d2332,B,Instructions,38,block2,medium_noise,1,win,883,0,0,1,0.12,0.04
534d2332,B,Instructions,39,block2,medium_noise,1,win,656,0,0,1,0.48,0.18
534d2332,B,Instructions,40,block2,medium_noise,1,loss,837,0,0,0,0.78,0.58
534d2332,B,Instructions,41,block2,medium_noise,1,loss,796,0,0,0,0.26,0.24
534d2332,B,Instructions,42,block2,medium_noise,1,loss,589,0,0,0,0.06,0.08
534d2332,B,Instructions,43,block2,medium_noise,1,loss,694,0,0,0,0.1,0.06
534d2332,B,Instructions,44,block2,medium_noise,1,loss,662,0,0,0,0.04,0.0
534d2332,B,Instructions,45,block2,medium_noise,0,win,407,1,0,0,0.18,0.08
534d2332,B,Instructions,46,block2,medium_noise,1,loss,184,0,0,0,0.22,0.02
534d2332,B,Instructions,47,block2,medium_noise,0,win,234,1,0,0,0.04,0.06
534d2332,B,Instructions,48,block2,medium_noise,0,win,390,1,0,0,0.0,0.04
534d2332,B,Instructions,49,block2,medium_noise,1,loss,188,0,0,0,0.12,0.04
534d2332,B,Instructions,50,block2,medium_noise,0,win,370,1,0,0,0.08,0.06
