participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
57523f00,B,Instructions,1,block1,medium_noise,0,win,3656,1,0,0,0.58,0.48
57523f00,B,Instructions,2,block1,medium_noise,1,loss,2839,0,0,0,0.14,0.28
57523f00,B,Instructions,3,block1,medium_noise,0,loss,6414,1,0,1,0.06,0.16
57523f00,B,Instructions,4,block1,medium_noise,1,win,998,0,0,1,0.34,0.5
57523f00,B,Instructions,5,block1,medium_noise,1,win,2016,0,0,1,0.66,0.88
57523f00,B,Instructions,6,block1,medium_noise,0,win,8939,1,0,0,0.9,0.8
57523f00,B,Instructions,7,block1,medium_noise,1,loss,768,0,0,0,0.68,0.62
57523f00,B,Instructions,8,block1,medium_noise,0,win,3136,1,0,0,0.3,0.28
57523f00,B,Instructions,9,block1,medium_noise,0,loss,1317,1,0,1,0.24,0.12
57523f00,B,Instructions,10,block1,medium_noise,0,loss,720,1,0,1,0.38,0.36
57523f00,B,Instructions,11,block1,medium_noise,1,loss,662,0,0,0,0.66,0.76
57523f00,B,Instructions,12,block1,medium_noise,0,win,576,1,0,0,0.42,0.48
57523f00,B,Instructions,13,block1,medium_noise,1,loss,812,0,0,0,0.22,0.26
57523f00,B,Instructions,14,block1,medium_noise,0,win,545,1,0,0,0.24,0.14
57523f00,B,Instructions,15,block1,medium_noise,0,loss,548,1,0,1,0.1,0.16
57523f00,B,Instructions,16,block1,medium_noise,0,win,594,1,0,0,0.3,0.32
57523f00,B,Instructions,17,block1,medium_noise,1,win,789,0,0,1,0.16,0.14
57523f00,B,Instructions,18,block1,medium_noise,1,loss,621,0,0,0,0.26,0.24
57523f00,B,Instructions,19,block1,medium_noise,0,win,434,1,0,0,0.22,0.22
57523f00,B,Instructions,20,block1,medium_noise,1,loss,358,0,0,0,0.1,0.26
57523f00,B,Instructions,21,block1,medium_noise,0,win,412,1,0,0,0.1,0.14
57523f00,B,Instructions,22,block1,medium_noise,1,win,507,0,0,1,0.08,0.02
57523f00,B,Instructions,23,block1,medium_noise,0,win,513,1,0,0,0.2,0.14
57523f00,B,Instructions,24,block1,medium_noise,1,win,514,0,0,1,0.08,0.08
57523f00,B,Instructions,25,block1,medium_noise,0,win,416,1,0,0,0.28,0.3
57523f00,B,Instructions,26,block1,medium_noise,1,win,423,0,0,1,0.04,0.14
57523f00,B,Instructions,27,block1,medium_noise,0,loss,339,1,0,1,0.34,0.32
57523f00,B,Instructions,28,block1,medium_noise,1,loss,328,0,0,0,0.48,0.52
57523f00,B,Instructions,29,block1,medium_noise,0,loss,494,1,0,1,0.3,0.26
57523f00,B,Instructions,30,block1,medium_noise,1,loss,176,0,0,0,0.6,0.52
57523f00,B,Instructions,31,block1,medium_noise,1,loss,360,0,0,0,0.4,0.26
57523f00,B,Instructions,32,block1,medium_noise,1,loss,335,0,0,0,0.32,0.14
57523f00,B,Instructions,33,block1,medium_noise,0,win,267,1,0,0,0.12,0.16
57523f00,B,Instructions,34,block1,medium_noise,0,win,340,1,0,0,0.18,0.06
57523f00,B,Instructions,35,block1,medium_noise,0,loss,639,1,0,1,0.22,0.02
57523f00,B,Instructions,36,block1,medium_noise,1,loss,485,1,1,1,0.32,0.1
57523f00,B,Instructions,37,block1,medium_noise,1,win,2083,1,1,0,0.2,0.06
57523f00,B,Instructions,38,block1,medium_noise,1,win,4424,1,1,0,0.18,0.14
57523f00,B,Instructions,39,block1,medium_noise,1,win,1899,1,1,0,0.5,0.38
57523f00,B,Instructions,40,block1,medium_noise,0,loss,557,0,1,0,0.64,0.44
57523f00,B,Instructions,41,block1,medium_noise,0,loss,448,0,1,0,0.76,0.64
57523f00,B,Instructions,42,block1,medium_noise,1,win,455,1,1,0,0.82,0.76
57523f00,B,Instructions,43,block1,medium_noise,0,loss,1157,0,1,0,0.88,0.82
57523f00,B,Instructions,44,block1,medium_noise,1,win,911,1,1,0,0.84,0.86
57523f00,B,Instructions,45,block1,medium_noise,1,win,423,1,1,0,0.94,0.94
57523f00,B,Instructions,46,block1,medium_noise,1,win,466,1,1,0,0.86,0.84
57523f00,B,Instructions,47,block1,medium_noise,1,win,478,1,1,0,0.92,0.9
57523f00,B,Instructions,48,block1,medium_noise,1,loss,361,1,1,1,0.9,0.92
57523f00,B,Instructions,49,block1,medium_noise,0,win,314,0,1,1,0.68,0.78
57523f00,B,Instructions,50,block1,medium_noise,0,loss,286,0,1,0,0.58,0.58
57523f00,B,Instructions,1,block2,high_noise,0,loss,3906,0,1,0,0.74,0.74
57523f00,B,Instructions,2,block2,high_noise,1,loss,451,1,1,1,0.78,0.92
57523f00,B,Instructions,3,block2,high_noise,0,loss,336,0,1,0,0.64,0.8
57523f00,B,Instructions,4,block2,high_noise,1,loss,45,1,1,1,0.78,0.76
57523f00,B,Instructions,5,block2,high_noise,0,loss,425,0,1,0,0.6,0.6
57523f00,B,Instructions,6,block2,high_noise,1,win,792,1,1,0,0.72,0.84
57523f00,B,Instructions,7,block2,high_noise,0,loss,413,0,1,0,0.82,0.82
57523f00,B,Instructions,8,block2,high_noise,1,win,287,1,1,0,0.86,0.88
57523f00,B,Instructions,9,block2,high_noise,0,loss,948,0,1,0,0.9,0.88
57523f00,B,Instructions,10,block2,high_noise,1,win,12589,1,1,0,0.94,0.92
57523f00,B,Instructions,11,block2,high_noise,1,win,2329,1,1,0,0.82,0.98
57523f00,B,Instructions,12,block2,high_noise,0,loss,729,0,1,0,0.94,0.92
57523f00,B,Instructions,13,block2,high_noise,1,win,184,1,1,0,0.94,1.0
57523f00,B,Instructions,14,block2,high_noise,1,loss,635,1,1,1,0.96,0.94
57523f00,B,Instructions,15,block2,high_noise,0,loss,9,0,1,0,0.84,0.88
57523f00,B,Instructions,16,block2,high_noise,1,win,360,1,1,0,0.92,0.84
57523f00,B,Instructions,17,block2,high_noise,0,loss,2145,0,1,0,0.88,1.0
57523f00,B,Instructions,18,block2,high_noise,1,loss,681,0,0,0,0.92,0.96
57523f00,B,Instructions,19,block2,high_noise,0,loss,1377,1,0,1,0.78,0.94
57523f00,B,Instructions,20,block2,high_noise,1,win,1576,0,0,1,0.92,0.94
57523f00,B,Instructions,21,block2,high_noise,1,loss,526,0,0,0,0.92,0.9
57523f00,B,Instructions,22,block2,high_noise,1,loss,353,0,0,0,0.84,0.98
57523f00,B,Instructions,23,block2,high_noise,0,win,54,1,0,0,0.44,0.78
57523f00,B,Instructions,24,block2,high_noise,0,loss,157,1,0,1,0.34,0.58
57523f00,B,Instructions,25,block2,high_noise,1,win,546,0,0,1,0.74,0.82
57523f00,B,Instructions,26,block2,high_noise,1,win,351,0,0,1,0.7,0.86
57523f00,B,Instructions,27,block2,high_noise,0,win,953,1,0,0,0.9,0.96
57523f00,B,Instructions,28,block2,high_noise,1,loss,498,0,0,0,0.82,0.92
57523f00,B,Instructions,29,block2,high_noise,0,loss,249,1,0,1,0.34,0.66
57523f00,B,Instructions,30,block2,high_noise,1,loss,412,0,0,0,0.64,0.84
57523f00,B,Instructions,31,block2,high_noise,1,win,341,1,1,0,0.38,0.74
57523f00,B,Instructions,32,block2,high_noise,0,loss,578,0,1,0,0.64,0.9
57523f00,B,Instructions,33,block2,high_noise,1,loss,390,1,1,1,0.78,0.94
57523f00,B,Instructions,34,block2,high_noise,0,loss,109,0,1,0,0.6,0.84
57523f00,B,Instructions,35,block2,high_noise,0,win,335,0,1,1,0.88,0.92
57523f00,B,Instructions,36,block2,high_noise,0,loss,198,0,1,0,0.44,0.78
57523f00,B,Instructions,37,block2,high_noise,1,win,426,1,1,0,0.82,0.84
57523f00,B,Instructions,38,block2,high_noise,1,win,711,1,1,0,0.72,0.9
57523f00,B,Instructions,39,block2,high_noise,1,win,430,1,1,0,0.76,0.98
57523f00,B,Instructions,40,block2,high_noise,1,loss,194,1,1,1,0.94,0.94
57523f00,B,Instructions,41,block2,high_noise,0,win,383,0,1,1,0.76,0.86
57523f00,B,Instructions,42,block2,high_noise,0,loss,165,0,1,0,0.54,0.8
57523f00,B,Instructions,43,block2,high_noise,1,loss,372,1,1,1,0.76,0.9
57523f00,B,Instructions,44,block2,high_noise,0,loss,301,0,1,0,0.56,0.84
57523f00,B,Instructions,45,block2,high_noise,1,win,364,1,1,0,0.7,0.86
57523f00,B,Instructions,46,block2,high_noise,0,loss,286,0,1,0,0.84,0.98
57523f00,B,Instructions,47,block2,high_noise,1,win,115,1,1,0,0.9,0.94
57523f00,B,Instructions,48,block2,high_noise,1,win,243,1,1,0,0.92,0.98
57523f00,B,Instructions,49,block2,high_noise,0,loss,932,0,1,0,0.86,0.98
57523f00,B,Instructions,50,block2,high_noise,1,win,420,1,1,0,0.9,0.94
