participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
62d173ea,B,Instructions,1,block1,high_noise,0,win,2482,0,1,1,0.58,0.48
62d173ea,B,Instructions,2,block1,high_noise,0,win,12470,0,1,1,0.14,0.28
62d173ea,B,Instructions,3,block1,high_noise,0,loss,2483,0,1,0,0.06,0.16
62d173ea,B,Instructions,4,block1,high_noise,0,loss,2438,0,1,0,0.34,0.5
62d173ea,B,Instructions,5,block1,high_noise,0,loss,2497,0,1,0,0.66,0.88
62d173ea,B,Instructions,6,block1,high_noise,1,loss,1253,1,1,1,0.9,0.8
62d173ea,B,Instructions,7,block1,high_noise,1,win,2179,1,1,0,0.68,0.62
62d173ea,B,Instructions,8,block1,high_noise,0,loss,3401,0,1,0,0.78,0.82
62d173ea,B,Instructions,9,block1,high_noise,1,loss,1922,1,1,1,0.82,0.82
62d173ea,B,Instructions,10,block1,high_noise,1,win,663,1,1,0,0.58,0.62
62d173ea,B,Instructions,11,block1,high_noise,1,win,3886,1,1,0,0.86,0.8
62d173ea,B,Instructions,12,block1,high_noise,1,loss,1734,1,1,1,0.9,0.86
62d173ea,B,Instructions,13,block1,high_noise,1,win,1382,1,1,0,0.76,0.68
62d173ea,B,Instructions,14,block1,high_noise,1,win,1335,1,1,0,0.88,0.82
62d173ea,B,Instructions,15,block1,high_noise,0,loss,2088,0,1,0,0.88,0.92
62d173ea,B,Instructions,16,block1,high_noise,0,win,733,0,1,1,0.9,0.94
62d173ea,B,Instructions,17,block1,high_noise,0,win,2778,0,1,1,0.88,0.76
62d173ea,B,Instructions,18,block1,high_noise,0,loss,1932,0,1,0,0.66,0.58
62d173ea,B,Instructions,19,block1,high_noise,0,win,2369,1,0,0,0.78,0.8
62d173ea,B,Instructions,20,block1,high_noise,0,win,1560,1,0,0,0.46,0.5
62d173ea,B,Instructions,21,block1,high_noise,0,loss,795,1,0,1,0.38,0.42
62d173ea,B,Instructions,22,block1,high_noise,1,loss,530,0,0,0,0.68,0.72
62d173ea,B,Instructions,23,block1,high_noise,1,loss,1637,0,0,0,0.54,0.5
62d173ea,B,Instructions,24,block1,high_noise,1,loss,763,0,0,0,0.36,0.38
62d173ea,B,Instructions,25,block1,high_noise,1,loss,658,0,0,0,0.16,0.12
62d173ea,B,Instructions,26,block1,high_noise,1,loss,1202,0,0,0,0.18,0.12
62d173ea,B,Instructions,27,block1,high_noise,1,loss,690,0,0,0,0.14,0.14
62d173ea,B,Instructions,28,block1,high_noise,1,win,591,0,0,1,0.16,0.12
62d173ea,B,Instructions,29,block1,high_noise,1,win,598,0,0,1,0.18,0.18
62d173ea,B,Instructions,30,block1,high_noise,1,win,719,0,0,1,0.54,0.46
62d173ea,B,Instructions,31,block1,high_noise,1,win,1518,0,0,1,0.72,0.7
62d173ea,B,Instructions,32,block1,high_noise,1,win,3010,1,1,0,0.66,0.76
62d173ea,B,Instructions,33,block1,high_noise,1,win,2588,1,1,0,0.86,0.8
62d173ea,B,Instructions,34,block1,high_noise,1,win,1255,0,0,1,0.8,0.9
62d173ea,B,Instructions,35,block1,high_noise,0,loss,2038,1,0,1,0.84,0.96
62d173ea,B,Instructions,36,block1,high_noise,1,win,603,0,0,1,0.88,0.84
62d173ea,B,Instructions,37,block1,high_noise,1,loss,1090,0,0,0,0.94,0.94
62d173ea,B,Instructions,38,block1,high_noise,1,loss,1078,0,0,0,0.72,0.84
62d173ea,B,Instructions,39,block1,high_noise,0,win,324,1,0,0,0.56,0.6
62d173ea,B,Instructions,40,block1,high_noise,0,win,650,1,0,0,0.32,0.32
62d173ea,B,Instructions,41,block1,high_noise,0,win,789,1,0,0,0.28,0.14
62d173ea,B,Instructions,42,block1,high_noise,0,win,1095,1,0,0,0.08,0.24
62d173ea,B,Instructions,43,block1,high_noise,1,loss,1109,0,0,0,0.02,0.14
62d173ea,B,Instructions,44,block1,high_noise,0,win,696,1,0,0,0.06,0.2
62d173ea,B,Instructions,45,block1,high_noise,1,loss,797,0,0,0,0.08,0.06
62d173ea,B,Instructions,46,block1,high_noise,0,win,663,1,0,0,0.12,0.12
62d173ea,B,Instructions,47,block1,high_noise,1,loss,734,0,0,0,0.12,0.04
62d173ea,B,Instructions,48,block1,high_noise,0,loss,1211,1,0,1,0.06,0.06
62d173ea,B,Instructions,49,block1,high_noise,1,loss,882,0,0,0,0.22,0.22
62d173ea,B,Instructions,50,block1,high_noise,1,loss,1726,0,0,0,0.12,0.06
62d173ea,B,Instructions,1,block2,medium_noise,0,win,3640,1,0,0,0.14,0.08
62d173ea,B,Instructions,2,block2,medium_noise,1,win,948,0,0,1,0.04,0.06
62d173ea,B,Instructions,3,block2,medium_noise,0,win,892,1,0,0,0.26,0.14
62d173ea,B,Instructions,4,block2,medium_noise,1,win,741,0,0,1,0.12,0.12
62d173ea,B,Instructions,5,block2,medium_noise,0,loss,652,1,0,1,0.34,0.42
