participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
inf,A,No Instructions,1,block1,medium_noise,1,loss,3890,0,0,0,0.58,0.48
inf,A,No Instructions,2,block1,medium_noise,0,win,9119,1,0,0,0.14,0.28
inf,A,No Instructions,3,block1,medium_noise,0,win,1462,1,0,0,0.06,0.16
inf,A,No Instructions,4,block1,medium_noise,0,win,1935,1,0,0,0.02,0.08
inf,A,No Instructions,5,block1,medium_noise,0,win,3674,1,0,0,0.06,0.04
inf,A,No Instructions,6,block1,medium_noise,0,loss,1535,1,0,1,0.02,0.0
inf,A,No Instructions,7,block1,medium_noise,0,win,1953,1,0,0,0.08,0.3
inf,A,No Instructions,8,block1,medium_noise,0,win,1192,1,0,0,0.04,0.14
inf,A,No Instructions,9,block1,medium_noise,0,win,2513,1,0,0,0.08,0.08
inf,A,No Instructions,10,block1,medium_noise,1,loss,679,0,0,0,0.06,0.08
inf,A,No Instructions,11,block1,medium_noise,0,win,955,1,0,0,0.04,0.08
inf,A,No Instructions,12,block1,medium_noise,0,loss,484,1,0,1,0.02,0.06
inf,A,No Instructions,13,block1,medium_noise,0,win,1280,1,0,0,0.16,0.32
inf,A,No Instructions,14,block1,medium_noise,0,win,422,1,0,0,0.1,0.14
inf,A,No Instructions,15,block1,medium_noise,0,win,1479,1,0,0,0.04,0.06
inf,A,No Instructions,16,block1,medium_noise,0,win,783,1,0,0,0.08,0.04
inf,A,No Instructions,17,block1,medium_noise,1,loss,870,0,0,0,0.06,0.04
inf,A,No Instructions,18,block1,medium_noise,0,loss,751,1,0,1,0.04,0.02
inf,A,No Instructions,19,block1,medium_noise,0,win,705,1,0,0,0.16,0.08
inf,A,No Instructions,20,block1,medium_noise,0,loss,524,1,0,1,0.06,0.0
inf,A,No Instructions,21,block1,medium_noise,1,loss,1060,0,0,0,0.24,0.06
inf,A,No Instructions,22,block1,medium_noise,0,win,448,1,0,0,0.0,0.08
inf,A,No Instructions,23,block1,medium_noise,0,win,696,1,0,0,0.08,0.04
inf,A,No Instructions,24,block1,medium_noise,0,win,774,1,0,0,0.02,0.02
inf,A,No Instructions,25,block1,medium_noise,0,win,512,1,0,0,0.06,0.06
inf,A,No Instructions,26,block1,medium_noise,0,win,505,1,0,0,0.04,0.0
inf,A,No Instructions,27,block1,medium_noise,1,win,539,1,1,0,0.06,0.02
inf,A,No Instructions,28,block1,medium_noise,0,loss,400,0,1,0,0.18,0.14
inf,A,No Instructions,29,block1,medium_noise,0,win,584,0,1,1,0.68,0.2
inf,A,No Instructions,30,block1,medium_noise,0,win,511,0,1,1,0.18,0.02
inf,A,No Instructions,31,block1,medium_noise,0,loss,449,0,1,0,0.1,0.06
inf,A,No Instructions,32,block1,medium_noise,1,win,606,1,1,0,0.32,0.1
inf,A,No Instructions,33,block1,medium_noise,1,win,418,1,1,0,0.66,0.34
inf,A,No Instructions,34,block1,medium_noise,1,win,465,1,1,0,0.9,0.6
inf,A,No Instructions,35,block1,medium_noise,1,win,468,1,1,0,0.88,0.74
inf,A,No Instructions,36,block1,medium_noise,0,loss,691,0,1,0,0.96,0.82
inf,A,No Instructions,37,block1,medium_noise,0,loss,478,0,1,0,0.98,0.82
inf,A,No Instructions,38,block1,medium_noise,1,win,333,1,1,0,0.88,0.92
inf,A,No Instructions,39,block1,medium_noise,1,win,404,1,1,0,0.96,0.96
inf,A,No Instructions,40,block1,medium_noise,1,win,1447,1,1,0,0.92,0.92
inf,A,No Instructions,41,block1,medium_noise,1,win,740,1,1,0,0.98,0.98
inf,A,No Instructions,42,block1,medium_noise,0,loss,948,0,1,0,0.86,0.9
inf,A,No Instructions,43,block1,medium_noise,1,win,582,1,1,0,0.94,0.94
inf,A,No Instructions,44,block1,medium_noise,1,win,730,1,1,0,0.98,0.92
inf,A,No Instructions,45,block1,medium_noise,1,loss,1330,1,1,1,0.94,0.94
inf,A,No Instructions,46,block1,medium_noise,0,loss,4253,0,1,0,0.86,0.64
inf,A,No Instructions,47,block1,medium_noise,0,loss,499,0,1,0,0.92,0.82
inf,A,No Instructions,48,block1,medium_noise,1,loss,83,0,0,0,0.98,0.98
inf,A,No Instructions,49,block1,medium_noise,0,win,143,1,0,0,0.72,0.64
inf,A,No Instructions,50,block1,medium_noise,0,loss,397,1,0,1,0.24,0.32
inf,A,No Instructions,1,block2,high_noise,1,loss,5454,0,0,0,0.8,0.62
inf,A,No Instructions,2,block2,high_noise,1,loss,836,0,0,0,0.34,0.16
inf,A,No Instructions,3,block2,high_noise,1,loss,516,0,0,0,0.0,0.06
inf,A,No Instructions,4,block2,high_noise,0,loss,659,1,0,1,0.08,0.04
inf,A,No Instructions,5,block2,high_noise,0,win,411,1,0,0,0.38,0.16
inf,A,No Instructions,6,block2,high_noise,0,loss,514,1,0,1,0.14,0.1
inf,A,No Instructions,7,block2,high_noise,0,win,532,1,0,0,0.54,0.34
inf,A,No Instructions,8,block2,high_noise,1,win,531,0,0,1,0.18,0.08
inf,A,No Instructions,9,block2,high_noise,0,win,492,1,0,0,0.52,0.3
inf,A,No Instructions,10,block2,high_noise,1,loss,405,0,0,0,0.2,0.24
inf,A,No Instructions,11,block2,high_noise,1,loss,516,0,0,0,0.12,0.06
inf,A,No Instructions,12,block2,high_noise,1,win,371,1,1,0,0.16,0.04
inf,A,No Instructions,13,block2,high_noise,1,win,415,1,1,0,0.38,0.2
inf,A,No Instructions,14,block2,high_noise,1,loss,459,1,1,1,0.8,0.42
inf,A,No Instructions,15,block2,high_noise,0,loss,495,0,1,0,0.3,0.18
inf,A,No Instructions,16,block2,high_noise,1,win,336,1,1,0,0.74,0.4
inf,A,No Instructions,17,block2,high_noise,0,loss,420,0,1,0,0.82,0.74
inf,A,No Instructions,18,block2,high_noise,0,loss,498,0,1,0,0.88,0.78
inf,A,No Instructions,19,block2,high_noise,1,win,462,1,1,0,0.94,0.96
inf,A,No Instructions,20,block2,high_noise,1,loss,2684,1,1,1,0.94,0.92
inf,A,No Instructions,21,block2,high_noise,1,win,436,1,1,0,0.58,0.58
inf,A,No Instructions,22,block2,high_noise,0,loss,457,0,1,0,0.88,0.92
inf,A,No Instructions,23,block2,high_noise,0,win,383,0,1,1,0.88,0.94
inf,A,No Instructions,24,block2,high_noise,0,loss,423,0,1,0,0.56,0.54
inf,A,No Instructions,25,block2,high_noise,0,win,590,0,1,1,0.76,0.82
inf,A,No Instructions,26,block2,high_noise,0,loss,312,0,1,0,0.52,0.48
inf,A,No Instructions,27,block2,high_noise,0,loss,422,0,1,0,0.74,0.8
inf,A,No Instructions,28,block2,high_noise,0,loss,1035,0,1,0,0.94,0.88
inf,A,No Instructions,29,block2,high_noise,1,loss,474,1,1,1,0.92,0.92
inf,A,No Instructions,30,block2,high_noise,0,win,342,0,1,1,0.64,0.68
inf,A,No Instructions,31,block2,high_noise,0,win,576,0,1,1,0.36,0.36
inf,A,No Instructions,32,block2,high_noise,0,loss,517,0,1,0,0.2,0.24
inf,A,No Instructions,33,block2,high_noise,1,loss,466,1,1,1,0.64,0.34
inf,A,No Instructions,34,block2,high_noise,1,win,876,1,1,0,0.26,0.16
inf,A,No Instructions,35,block2,high_noise,1,win,528,1,1,0,0.6,0.6
inf,A,No Instructions,36,block2,high_noise,1,loss,442,1,1,1,0.8,0.68
inf,A,No Instructions,37,block2,high_noise,1,win,361,1,1,0,0.5,0.46
inf,A,No Instructions,38,block2,high_noise,0,loss,516,0,1,0,0.66,0.7
inf,A,No Instructions,39,block2,high_noise,0,loss,410,0,1,0,0.7,0.76
inf,A,No Instructions,40,block2,high_noise,0,loss,393,0,1,0,0.88,0.82
inf,A,No Instructions,41,block2,high_noise,0,loss,388,0,1,0,0.74,0.96
inf,A,No Instructions,42,block2,high_noise,0,loss,384,0,1,0,0.82,0.86
inf,A,No Instructions,43,block2,high_noise,0,loss,603,0,1,0,0.92,0.92
inf,A,No Instructions,44,block2,high_noise,0,loss,386,0,1,0,0.84,0.94
inf,A,No Instructions,45,block2,high_noise,1,win,297,1,1,0,0.86,0.94
inf,A,No Instructions,46,block2,high_noise,0,loss,671,0,1,0,0.94,0.96
inf,A,No Instructions,47,block2,high_noise,1,loss,290,1,1,1,0.84,0.94
inf,A,No Instructions,48,block2,high_noise,0,loss,74,0,1,0,0.78,0.84
inf,A,No Instructions,49,block2,high_noise,0,loss,418,0,1,0,0.9,0.94
inf,A,No Instructions,50,block2,high_noise,0,loss,738,0,1,0,0.98,0.9
