participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
7ba35dc6,B,Instructions,1,block1,high_noise,0,loss,1670,1,0,1,0.58,0.48
7ba35dc6,B,Instructions,2,block1,high_noise,1,win,1364,0,0,1,0.86,0.72
7ba35dc6,B,Instructions,3,block1,high_noise,0,win,1738,1,0,0,0.9,0.84
7ba35dc6,B,Instructions,4,block1,high_noise,1,win,846,1,1,0,0.62,0.42
7ba35dc6,B,Instructions,5,block1,high_noise,0,win,749,0,1,1,0.76,0.82
7ba35dc6,B,Instructions,6,block1,high_noise,1,loss,734,1,1,1,0.54,0.52
7ba35dc6,B,Instructions,7,block1,high_noise,0,loss,807,0,1,0,0.4,0.22
7ba35dc6,B,Instructions,8,block1,high_noise,0,loss,602,0,1,0,0.66,0.52
7ba35dc6,B,Instructions,9,block1,high_noise,0,loss,381,0,1,0,0.94,0.82
7ba35dc6,B,Instructions,10,block1,high_noise,1,loss,296,1,1,1,0.88,0.8
7ba35dc6,B,Instructions,11,block1,high_noise,0,loss,312,0,1,0,0.8,0.54
7ba35dc6,B,Instructions,12,block1,high_noise,0,loss,601,0,1,0,0.82,0.78
7ba35dc6,B,Instructions,13,block1,high_noise,1,loss,263,1,1,1,0.88,0.94
7ba35dc6,B,Instructions,14,block1,high_noise,0,win,1059,0,1,1,0.9,0.68
7ba35dc6,B,Instructions,15,block1,high_noise,1,win,887,1,1,0,0.5,0.48
7ba35dc6,B,Instructions,16,block1,high_noise,1,win,586,1,1,0,0.82,0.66
7ba35dc6,B,Instructions,17,block1,high_noise,0,loss,404,0,1,0,0.76,0.76
7ba35dc6,B,Instructions,18,block1,high_noise,1,win,414,1,1,0,0.8,0.92
7ba35dc6,B,Instructions,19,block1,high_noise,0,loss,984,0,1,0,0.94,0.88
7ba35dc6,B,Instructions,20,block1,high_noise,1,loss,259,1,1,1,0.84,0.9
7ba35dc6,B,Instructions,21,block1,high_noise,0,loss,598,0,1,0,0.8,0.9
7ba35dc6,B,Instructions,22,block1,high_noise,1,win,325,1,1,0,0.88,0.82
7ba35dc6,B,Instructions,23,block1,high_noise,1,loss,555,1,1,1,0.9,0.94
7ba35dc6,B,Instructions,24,block1,high_noise,0,loss,586,0,1,0,0.72,0.86
7ba35dc6,B,Instructions,25,block1,high_noise,1,win,109,1,1,0,0.9,0.84
7ba35dc6,B,Instructions,26,block1,high_noise,1,win,510,1,1,0,0.94,0.76
7ba35dc6,B,Instructions,27,block1,high_noise,0,loss,623,0,1,0,0.96,0.92
7ba35dc6,B,Instructions,28,block1,high_noise,1,win,123,1,1,0,0.94,0.94
7ba35dc6,B,Instructions,29,block1,high_noise,1,win,574,1,1,0,0.96,0.94
7ba35dc6,B,Instructions,30,block1,high_noise,1,win,494,1,1,0,0.94,0.98
7ba35dc6,B,Instructions,31,block1,high_noise,1,win,462,1,1,0,1.0,0.96
7ba35dc6,B,Instructions,32,block1,high_noise,0,loss,344,0,1,0,0.98,0.94
7ba35dc6,B,Instructions,33,block1,high_noise,1,win,335,1,1,0,0.94,0.86
7ba35dc6,B,Instructions,34,block1,high_noise,1,win,408,1,1,0,0.94,0.98
7ba35dc6,B,Instructions,35,block1,high_noise,1,win,400,1,1,0,0.98,0.92
7ba35dc6,B,Instructions,36,block1,high_noise,1,win,870,1,1,0,0.96,0.96
7ba35dc6,B,Instructions,37,block1,high_noise,1,win,566,1,1,0,0.92,0.96
7ba35dc6,B,Instructions,38,block1,high_noise,1,win,454,1,1,0,0.88,0.96
7ba35dc6,B,Instructions,39,block1,high_noise,1,win,502,1,1,0,0.94,0.96
7ba35dc6,B,Instructions,40,block1,high_noise,1,win,211,1,1,0,0.96,1.0
7ba35dc6,B,Instructions,41,block1,high_noise,1,loss,334,0,0,0,0.94,0.88
7ba35dc6,B,Instructions,42,block1,high_noise,1,win,1005,0,0,1,0.88,0.84
7ba35dc6,B,Instructions,43,block1,high_noise,1,loss,240,0,0,0,0.88,0.94
7ba35dc6,B,Instructions,44,block1,high_noise,1,loss,389,0,0,0,0.8,0.86
7ba35dc6,B,Instructions,45,block1,high_noise,0,win,807,1,0,0,0.3,0.42
7ba35dc6,B,Instructions,46,block1,high_noise,1,loss,424,0,0,0,0.18,0.32
7ba35dc6,B,Instructions,47,block1,high_noise,0,loss,488,1,0,1,0.06,0.26
7ba35dc6,B,Instructions,48,block1,high_noise,1,loss,151,0,0,0,0.48,0.72
7ba35dc6,B,Instructions,49,block1,high_noise,1,win,366,0,0,1,0.16,0.22
7ba35dc6,B,Instructions,50,block1,high_noise,1,loss,407,0,0,0,0.62,0.74
7ba35dc6,B,Instructions,1,block2,medium_noise,1,win,1655,1,1,0,0.1,0.5
7ba35dc6,B,Instructions,2,block2,medium_noise,1,win,927,1,1,0,0.54,0.78
7ba35dc6,B,Instructions,3,block2,medium_noise,1,win,604,1,1,0,0.74,0.92
7ba35dc6,B,Instructions,4,block2,medium_noise,1,win,543,1,1,0,0.94,0.94
7ba35dc6,B,Instructions,5,block2,medium_noise,0,loss,406,0,1,0,0.9,0.96
7ba35dc6,B,Instructions,6,block2,medium_noise,1,win,347,1,1,0,0.94,0.98
7ba35dc6,B,Instructions,7,block2,medium_noise,1,win,496,1,1,0,0.98,0.96
7ba35dc6,B,Instructions,8,block2,medium_noise,1,win,463,1,1,0,0.96,0.96
