participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
7ebadc2b,B,Instructions,1,block1,medium_noise,1,loss,3234,0,0,0,0.58,0.48
7ebadc2b,B,Instructions,2,block1,medium_noise,1,loss,9378,0,0,0,0.14,0.28
7ebadc2b,B,Instructions,3,block1,medium_noise,0,win,933,1,0,0,0.06,0.16
7ebadc2b,B,Instructions,4,block1,medium_noise,1,loss,3821,0,0,0,0.02,0.08
7ebadc2b,B,Instructions,5,block1,medium_noise,0,win,79,1,0,0,0.06,0.04
7ebadc2b,B,Instructions,6,block1,medium_noise,0,win,2554,1,0,0,0.02,0.0
7ebadc2b,B,Instructions,7,block1,medium_noise,1,loss,2229,0,0,0,0.06,0.06
7ebadc2b,B,Instructions,8,block1,medium_noise,0,win,173,1,0,0,0.04,0.06
7ebadc2b,B,Instructions,9,block1,medium_noise,0,win,700,1,0,0,0.04,0.02
7ebadc2b,B,Instructions,10,block1,medium_noise,0,win,487,1,0,0,0.06,0.06
7ebadc2b,B,Instructions,11,block1,medium_noise,0,win,996,1,0,0,0.14,0.1
7ebadc2b,B,Instructions,12,block1,medium_noise,0,win,1893,1,0,0,0.02,0.08
7ebadc2b,B,Instructions,13,block1,medium_noise,0,win,914,1,0,0,0.04,0.0
7ebadc2b,B,Instructions,14,block1,medium_noise,0,win,431,1,0,0,0.02,0.08
7ebadc2b,B,Instructions,15,block1,medium_noise,0,win,146,1,0,0,0.08,0.04
7ebadc2b,B,Instructions,16,block1,medium_noise,0,win,95,1,0,0,0.08,0.06
7ebadc2b,B,Instructions,17,block1,medium_noise,0,win,372,1,0,0,0.08,0.0
7ebadc2b,B,Instructions,18,block1,medium_noise,0,win,604,1,0,0,0.06,0.04
7ebadc2b,B,Instructions,19,block1,medium_noise,0,loss,494,1,0,1,0.06,0.06
7ebadc2b,B,Instructions,20,block1,medium_noise,0,win,1159,1,0,0,0.42,0.24
7ebadc2b,B,Instructions,21,block1,medium_noise,0,win,463,1,0,0,0.04,0.04
7ebadc2b,B,Instructions,22,block1,medium_noise,0,loss,402,0,1,0,0.12,0.04
7ebadc2b,B,Instructions,23,block1,medium_noise,1,win,120,1,1,0,0.36,0.24
7ebadc2b,B,Instructions,24,block1,medium_noise,0,win,296,0,1,1,0.78,0.64
7ebadc2b,B,Instructions,25,block1,medium_noise,0,loss,454,0,1,0,0.14,0.16
7ebadc2b,B,Instructions,26,block1,medium_noise,0,win,501,0,1,1,0.76,0.64
7ebadc2b,B,Instructions,27,block1,medium_noise,1,win,103,1,1,0,0.18,0.14
7ebadc2b,B,Instructions,28,block1,medium_noise,0,win,788,0,1,1,0.68,0.64
7ebadc2b,B,Instructions,29,block1,medium_noise,1,loss,244,1,1,1,0.16,0.22
7ebadc2b,B,Instructions,30,block1,medium_noise,0,loss,490,0,1,0,0.02,0.1
