participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
a474f8ac,B,Instructions,1,block1,high_noise,0,win,3933,1,0,0,0.58,0.48
a474f8ac,B,Instructions,2,block1,high_noise,0,win,1823,1,0,0,0.14,0.28
a474f8ac,B,Instructions,3,block1,high_noise,0,win,1502,1,0,0,0.06,0.16
a474f8ac,B,Instructions,4,block1,high_noise,0,loss,1288,1,0,1,0.02,0.08
a474f8ac,B,Instructions,5,block1,high_noise,0,win,2051,1,0,0,0.22,0.5
a474f8ac,B,Instructions,6,block1,high_noise,0,win,810,1,0,0,0.12,0.16
a474f8ac,B,Instructions,7,block1,high_noise,0,win,679,1,0,0,0.12,0.08
a474f8ac,B,Instructions,8,block1,high_noise,1,win,2490,0,0,1,0.02,0.08
a474f8ac,B,Instructions,9,block1,high_noise,0,win,627,1,0,0,0.2,0.16
a474f8ac,B,Instructions,10,block1,high_noise,0,win,829,1,0,0,0.12,0.12
a474f8ac,B,Instructions,11,block1,high_noise,0,win,963,1,0,0,0.14,0.06
a474f8ac,B,Instructions,12,block1,high_noise,1,loss,444,0,0,0,0.1,0.04
a474f8ac,B,Instructions,13,block1,high_noise,0,loss,256,1,0,1,0.0,0.04
a474f8ac,B,Instructions,14,block1,high_noise,0,loss,1247,1,0,1,0.14,0.14
a474f8ac,B,Instructions,15,block1,high_noise,1,loss,151,0,0,0,0.36,0.42
a474f8ac,B,Instructions,16,block1,high_noise,0,win,123,1,0,0,0.22,0.1
a474f8ac,B,Instructions,17,block1,high_noise,0,win,308,1,0,0,0.04,0.06
a474f8ac,B,Instructions,18,block1,high_noise,0,win,299,1,0,0,0.0,0.04
a474f8ac,B,Instructions,19,block1,high_noise,0,loss,328,1,0,1,0.12,0.02
a474f8ac,B,Instructions,20,block1,high_noise,0,loss,726,1,0,1,0.24,0.16
a474f8ac,B,Instructions,21,block1,high_noise,0,win,689,1,0,0,0.4,0.36
a474f8ac,B,Instructions,22,block1,high_noise,0,loss,366,1,0,1,0.2,0.14
a474f8ac,B,Instructions,23,block1,high_noise,1,loss,730,0,0,0,0.4,0.42
a474f8ac,B,Instructions,24,block1,high_noise,1,win,880,0,0,1,0.2,0.16
a474f8ac,B,Instructions,25,block1,high_noise,1,loss,367,0,0,0,0.38,0.42
a474f8ac,B,Instructions,26,block1,high_noise,0,loss,544,1,0,1,0.24,0.18
a474f8ac,B,Instructions,27,block1,high_noise,0,win,532,1,0,0,0.48,0.36
a474f8ac,B,Instructions,28,block1,high_noise,0,loss,531,1,0,1,0.28,0.18
a474f8ac,B,Instructions,29,block1,high_noise,0,win,829,1,0,0,0.52,0.26
