participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
a55bffe3,A,No Instructions,1,block1,high_noise,0,win,2860,1,0,0,0.58,0.48
a55bffe3,A,No Instructions,2,block1,high_noise,1,loss,3200,0,0,0,0.14,0.28
a55bffe3,A,No Instructions,3,block1,high_noise,0,win,1032,1,0,0,0.06,0.16
a55bffe3,A,No Instructions,4,block1,high_noise,0,loss,968,1,0,1,0.02,0.08
a55bffe3,A,No Instructions,5,block1,high_noise,0,win,1165,1,0,0,0.22,0.5
a55bffe3,A,No Instructions,6,block1,high_noise,1,loss,972,1,1,1,0.12,0.16
a55bffe3,A,No Instructions,7,block1,high_noise,0,loss,945,0,1,0,0.12,0.08
a55bffe3,A,No Instructions,8,block1,high_noise,0,win,986,0,1,1,0.3,0.28
a55bffe3,A,No Instructions,9,block1,high_noise,1,win,1009,1,1,0,0.14,0.08
a55bffe3,A,No Instructions,10,block1,high_noise,1,win,738,1,1,0,0.24,0.42
a55bffe3,A,No Instructions,11,block1,high_noise,0,win,1108,0,1,1,0.66,0.6
a55bffe3,A,No Instructions,12,block1,high_noise,0,win,846,0,1,1,0.24,0.38
a55bffe3,A,No Instructions,13,block1,high_noise,1,win,1035,1,1,0,0.28,0.26
a55bffe3,A,No Instructions,14,block1,high_noise,1,win,691,1,1,0,0.38,0.44
a55bffe3,A,No Instructions,15,block1,high_noise,0,win,672,0,1,1,0.64,0.64
a55bffe3,A,No Instructions,16,block1,high_noise,0,win,570,0,1,1,0.38,0.42
a55bffe3,A,No Instructions,17,block1,high_noise,1,win,744,1,1,0,0.12,0.24
a55bffe3,A,No Instructions,18,block1,high_noise,1,win,596,1,1,0,0.42,0.28
a55bffe3,A,No Instructions,19,block1,high_noise,0,loss,653,0,1,0,0.66,0.62
a55bffe3,A,No Instructions,20,block1,high_noise,0,loss,961,0,1,0,0.86,0.74
a55bffe3,A,No Instructions,21,block1,high_noise,0,win,1288,0,1,1,0.82,0.76
a55bffe3,A,No Instructions,22,block1,high_noise,0,win,593,0,1,1,0.66,0.74
a55bffe3,A,No Instructions,23,block1,high_noise,1,win,658,1,1,0,0.42,0.54
a55bffe3,A,No Instructions,24,block1,high_noise,1,loss,705,1,1,1,0.68,0.74
a55bffe3,A,No Instructions,25,block1,high_noise,0,win,813,0,1,1,0.38,0.36
a55bffe3,A,No Instructions,26,block1,high_noise,1,win,1064,1,1,0,0.32,0.32
a55bffe3,A,No Instructions,27,block1,high_noise,0,loss,813,0,1,0,0.36,0.48
a55bffe3,A,No Instructions,28,block1,high_noise,0,loss,1140,0,1,0,0.62,0.64
a55bffe3,A,No Instructions,29,block1,high_noise,1,win,843,1,1,0,0.84,0.8
a55bffe3,A,No Instructions,30,block1,high_noise,1,win,611,1,1,0,0.92,0.86
a55bffe3,A,No Instructions,31,block1,high_noise,0,win,660,0,1,1,0.72,0.82
a55bffe3,A,No Instructions,32,block1,high_noise,1,win,988,1,1,0,0.74,0.72
a55bffe3,A,No Instructions,33,block1,high_noise,1,win,804,1,1,0,0.8,0.82
a55bffe3,A,No Instructions,34,block1,high_noise,0,loss,591,0,1,0,0.8,0.88
a55bffe3,A,No Instructions,35,block1,high_noise,0,loss,953,0,1,0,0.84,0.86
a55bffe3,A,No Instructions,36,block1,high_noise,0,loss,609,0,1,0,0.8,0.98
a55bffe3,A,No Instructions,37,block1,high_noise,0,loss,770,0,1,0,0.94,0.9
a55bffe3,A,No Instructions,38,block1,high_noise,1,win,412,1,1,0,0.8,0.9
a55bffe3,A,No Instructions,39,block1,high_noise,1,win,564,1,1,0,0.84,0.96
a55bffe3,A,No Instructions,40,block1,high_noise,1,win,720,1,1,0,0.96,0.94
a55bffe3,A,No Instructions,41,block1,high_noise,1,win,948,1,1,0,0.86,0.86
a55bffe3,A,No Instructions,42,block1,high_noise,1,win,657,0,0,1,0.9,0.92
a55bffe3,A,No Instructions,43,block1,high_noise,1,loss,782,0,0,0,0.96,0.94
a55bffe3,A,No Instructions,44,block1,high_noise,0,win,594,1,0,0,0.88,0.86
a55bffe3,A,No Instructions,45,block1,high_noise,0,loss,472,1,0,1,0.5,0.86
a55bffe3,A,No Instructions,46,block1,high_noise,1,loss,485,0,0,0,0.8,0.9
a55bffe3,A,No Instructions,47,block1,high_noise,1,loss,876,0,0,0,0.6,0.82
a55bffe3,A,No Instructions,48,block1,high_noise,0,loss,390,1,0,1,0.26,0.52
a55bffe3,A,No Instructions,49,block1,high_noise,1,loss,425,1,1,1,0.62,0.8
a55bffe3,A,No Instructions,50,block1,high_noise,0,loss,847,0,1,0,0.34,0.56
a55bffe3,A,No Instructions,1,block2,medium_noise,0,win,3964,1,0,0,0.68,0.74
a55bffe3,A,No Instructions,2,block2,medium_noise,0,win,609,1,0,0,0.28,0.6
a55bffe3,A,No Instructions,3,block2,medium_noise,0,win,484,1,0,0,0.28,0.46
a55bffe3,A,No Instructions,4,block2,medium_noise,0,win,562,1,0,0,0.32,0.2
a55bffe3,A,No Instructions,5,block2,medium_noise,0,win,547,1,0,0,0.16,0.18
a55bffe3,A,No Instructions,6,block2,medium_noise,0,win,516,1,0,0,0.12,0.2
a55bffe3,A,No Instructions,7,block2,medium_noise,0,win,456,1,0,0,0.14,0.02
a55bffe3,A,No Instructions,8,block2,medium_noise,0,loss,376,1,0,1,0.14,0.08
a55bffe3,A,No Instructions,9,block2,medium_noise,1,loss,497,0,0,0,0.32,0.22
a55bffe3,A,No Instructions,10,block2,medium_noise,0,win,290,1,0,0,0.14,0.18
a55bffe3,A,No Instructions,11,block2,medium_noise,0,win,356,1,0,0,0.14,0.1
a55bffe3,A,No Instructions,12,block2,medium_noise,0,win,623,1,0,0,0.1,0.14
a55bffe3,A,No Instructions,13,block2,medium_noise,0,win,586,1,0,0,0.04,0.06
a55bffe3,A,No Instructions,14,block2,medium_noise,0,win,500,1,0,0,0.1,0.06
a55bffe3,A,No Instructions,15,block2,medium_noise,0,win,471,1,0,0,0.06,0.02
a55bffe3,A,No Instructions,16,block2,medium_noise,0,win,432,1,0,0,0.1,0.0
a55bffe3,A,No Instructions,17,block2,medium_noise,0,win,587,1,0,0,0.14,0.0
a55bffe3,A,No Instructions,18,block2,medium_noise,0,win,551,1,0,0,0.08,0.06
a55bffe3,A,No Instructions,19,block2,medium_noise,0,win,485,1,0,0,0.1,0.08
a55bffe3,A,No Instructions,20,block2,medium_noise,0,win,564,1,0,0,0.04,0.06
a55bffe3,A,No Instructions,21,block2,medium_noise,0,win,251,1,0,0,0.02,0.08
a55bffe3,A,No Instructions,22,block2,medium_noise,0,win,924,1,0,0,0.02,0.08
a55bffe3,A,No Instructions,23,block2,medium_noise,0,win,1423,1,0,0,0.08,0.04
a55bffe3,A,No Instructions,24,block2,medium_noise,0,win,2102,1,0,0,0.04,0.02
a55bffe3,A,No Instructions,25,block2,medium_noise,0,win,924,1,0,0,0.08,0.02
a55bffe3,A,No Instructions,26,block2,medium_noise,0,win,627,1,0,0,0.02,0.08
