participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
aed15edd,B,Instructions,1,block1,medium_noise,0,loss,3396,0,1,0,0.58,0.48
aed15edd,B,Instructions,2,block1,medium_noise,1,loss,2923,1,1,1,0.86,0.72
aed15edd,B,Instructions,3,block1,medium_noise,1,loss,735,1,1,1,0.44,0.38
aed15edd,B,Instructions,4,block1,medium_noise,0,loss,258,0,1,0,0.08,0.18
aed15edd,B,Instructions,5,block1,medium_noise,0,win,545,1,0,0,0.64,0.44
aed15edd,B,Instructions,6,block1,medium_noise,0,win,7657,1,0,0,0.22,0.24
aed15edd,B,Instructions,7,block1,medium_noise,1,win,4161,0,0,1,0.12,0.14
aed15edd,B,Instructions,8,block1,medium_noise,0,win,3889,1,0,0,0.38,0.4
aed15edd,B,Instructions,9,block1,medium_noise,0,win,1529,1,0,0,0.24,0.34
aed15edd,B,Instructions,10,block1,medium_noise,1,loss,2471,0,0,0,0.14,0.06
aed15edd,B,Instructions,11,block1,medium_noise,1,win,1491,1,1,0,0.08,0.08
aed15edd,B,Instructions,12,block1,medium_noise,0,loss,1222,0,1,0,0.2,0.22
aed15edd,B,Instructions,13,block1,medium_noise,0,loss,1184,0,1,0,0.46,0.46
aed15edd,B,Instructions,14,block1,medium_noise,0,loss,2761,0,1,0,0.58,0.64
aed15edd,B,Instructions,15,block1,medium_noise,0,loss,1016,0,1,0,0.78,0.88
aed15edd,B,Instructions,16,block1,medium_noise,1,win,440,1,1,0,0.88,0.88
aed15edd,B,Instructions,17,block1,medium_noise,1,win,768,1,1,0,0.9,0.84
aed15edd,B,Instructions,18,block1,medium_noise,0,loss,495,0,1,0,0.9,1.0
aed15edd,B,Instructions,19,block1,medium_noise,1,win,657,1,1,0,0.92,0.98
aed15edd,B,Instructions,20,block1,medium_noise,1,win,747,1,1,0,0.9,0.96
aed15edd,B,Instructions,21,block1,medium_noise,0,loss,698,0,1,0,0.98,0.98
aed15edd,B,Instructions,22,block1,medium_noise,1,win,811,1,1,0,0.94,0.94
aed15edd,B,Instructions,23,block1,medium_noise,1,win,1012,1,1,0,0.94,0.9
aed15edd,B,Instructions,24,block1,medium_noise,1,win,1221,1,1,0,1.0,0.94
aed15edd,B,Instructions,25,block1,medium_noise,1,win,1059,1,1,0,0.94,0.88
aed15edd,B,Instructions,26,block1,medium_noise,0,loss,1303,0,1,0,0.94,0.92
aed15edd,B,Instructions,27,block1,medium_noise,1,win,727,1,1,0,0.9,0.96
aed15edd,B,Instructions,28,block1,medium_noise,1,win,1179,1,1,0,0.96,0.96
aed15edd,B,Instructions,29,block1,medium_noise,1,win,915,1,1,0,0.98,0.98
aed15edd,B,Instructions,30,block1,medium_noise,1,win,1072,1,1,0,0.9,0.94
aed15edd,B,Instructions,31,block1,medium_noise,1,loss,1123,1,1,1,0.98,0.96
aed15edd,B,Instructions,32,block1,medium_noise,0,loss,623,0,1,0,0.78,0.84
aed15edd,B,Instructions,33,block1,medium_noise,0,loss,540,0,1,0,0.96,0.9
aed15edd,B,Instructions,34,block1,medium_noise,0,loss,632,0,1,0,0.98,0.94
aed15edd,B,Instructions,35,block1,medium_noise,0,loss,796,0,1,0,0.98,0.92
aed15edd,B,Instructions,36,block1,medium_noise,0,loss,867,0,1,0,0.94,0.96
aed15edd,B,Instructions,37,block1,medium_noise,1,loss,421,0,0,0,0.92,0.92
aed15edd,B,Instructions,38,block1,medium_noise,0,win,42,0,1,1,0.74,0.92
aed15edd,B,Instructions,39,block1,medium_noise,0,win,849,0,1,1,0.28,0.54
aed15edd,B,Instructions,40,block1,medium_noise,1,win,577,1,1,0,0.12,0.24
aed15edd,B,Instructions,41,block1,medium_noise,0,loss,1444,0,1,0,0.72,0.82
aed15edd,B,Instructions,42,block1,medium_noise,0,loss,727,0,1,0,0.8,0.94
aed15edd,B,Instructions,43,block1,medium_noise,1,win,478,1,1,0,0.92,0.94
aed15edd,B,Instructions,44,block1,medium_noise,1,win,887,1,1,0,0.86,0.92
aed15edd,B,Instructions,45,block1,medium_noise,1,win,729,1,1,0,0.92,0.98
aed15edd,B,Instructions,46,block1,medium_noise,1,loss,929,1,1,1,0.98,0.98
aed15edd,B,Instructions,47,block1,medium_noise,0,loss,560,0,1,0,0.72,0.92
aed15edd,B,Instructions,48,block1,medium_noise,0,loss,649,0,1,0,0.92,0.96
aed15edd,B,Instructions,49,block1,medium_noise,0,loss,694,0,1,0,0.9,0.88
aed15edd,B,Instructions,50,block1,medium_noise,1,win,545,1,1,0,0.9,0.92
aed15edd,B,Instructions,1,block2,high_noise,1,win,2602,0,0,1,0.88,0.98
aed15edd,B,Instructions,2,block2,high_noise,1,win,793,0,0,1,0.98,0.96
aed15edd,B,Instructions,3,block2,high_noise,0,loss,571,1,0,1,0.92,0.98
