participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
c973295f,A,No Instructions,1,block1,medium_noise,0,loss,4006,1,0,1,0.58,0.48
c973295f,A,No Instructions,2,block1,medium_noise,1,loss,2668,0,0,0,0.86,0.72
c973295f,A,No Instructions,3,block1,medium_noise,0,win,3391,1,0,0,0.44,0.38
c973295f,A,No Instructions,4,block1,medium_noise,0,win,2642,1,0,0,0.08,0.18
c973295f,A,No Instructions,5,block1,medium_noise,0,win,2070,1,0,0,0.14,0.1
c973295f,A,No Instructions,6,block1,medium_noise,0,win,1354,1,0,0,0.1,0.08
c973295f,A,No Instructions,7,block1,medium_noise,0,win,640,1,0,0,0.06,0.02
c973295f,A,No Instructions,8,block1,medium_noise,0,win,679,1,0,0,0.06,0.02
c973295f,A,No Instructions,9,block1,medium_noise,0,win,1320,1,0,0,0.02,0.04
c973295f,A,No Instructions,10,block1,medium_noise,0,win,749,1,0,0,0.0,0.08
c973295f,A,No Instructions,11,block1,medium_noise,0,win,703,1,0,0,0.04,0.04
c973295f,A,No Instructions,12,block1,medium_noise,0,win,843,1,0,0,0.06,0.0
c973295f,A,No Instructions,13,block1,medium_noise,0,win,659,1,0,0,0.1,0.06
c973295f,A,No Instructions,14,block1,medium_noise,0,loss,592,0,1,0,0.04,0.04
c973295f,A,No Instructions,15,block1,medium_noise,0,loss,1730,0,1,0,0.18,0.14
c973295f,A,No Instructions,16,block1,medium_noise,1,win,1620,1,1,0,0.78,0.58
c973295f,A,No Instructions,17,block1,medium_noise,1,loss,812,0,0,0,0.88,0.46
c973295f,A,No Instructions,18,block1,medium_noise,0,loss,833,1,0,1,0.52,0.08
c973295f,A,No Instructions,19,block1,medium_noise,0,win,1010,1,0,0,0.76,0.6
c973295f,A,No Instructions,20,block1,medium_noise,0,win,781,1,0,0,0.34,0.16
c973295f,A,No Instructions,21,block1,medium_noise,0,win,593,1,0,0,0.12,0.12
c973295f,A,No Instructions,22,block1,medium_noise,0,win,953,1,0,0,0.12,0.1
c973295f,A,No Instructions,23,block1,medium_noise,0,win,443,1,0,0,0.06,0.1
c973295f,A,No Instructions,24,block1,medium_noise,0,win,1314,1,0,0,0.16,0.02
c973295f,A,No Instructions,25,block1,medium_noise,0,loss,673,1,0,1,0.04,0.06
c973295f,A,No Instructions,26,block1,medium_noise,1,loss,1260,0,0,0,0.32,0.14
c973295f,A,No Instructions,27,block1,medium_noise,0,win,2228,1,0,0,0.1,0.14
c973295f,A,No Instructions,28,block1,medium_noise,0,loss,407,0,1,0,0.12,0.06
c973295f,A,No Instructions,29,block1,medium_noise,0,win,2460,0,1,1,0.3,0.3
c973295f,A,No Instructions,30,block1,medium_noise,0,loss,612,0,1,0,0.1,0.08
c973295f,A,No Instructions,31,block1,medium_noise,0,loss,884,0,1,0,0.36,0.36
c973295f,A,No Instructions,32,block1,medium_noise,0,loss,1078,0,1,0,0.86,0.68
c973295f,A,No Instructions,33,block1,medium_noise,1,loss,920,1,1,1,0.86,0.82
c973295f,A,No Instructions,34,block1,medium_noise,0,loss,229,0,1,0,0.44,0.3
c973295f,A,No Instructions,35,block1,medium_noise,0,win,752,0,1,1,0.82,0.78
c973295f,A,No Instructions,36,block1,medium_noise,0,loss,357,0,1,0,0.44,0.26
c973295f,A,No Instructions,37,block1,medium_noise,1,win,762,1,1,0,0.74,0.6
c973295f,A,No Instructions,38,block1,medium_noise,0,win,1395,0,1,1,0.84,0.9
c973295f,A,No Instructions,39,block1,medium_noise,0,loss,1079,0,1,0,0.62,0.42
c973295f,A,No Instructions,40,block1,medium_noise,1,win,358,1,1,0,0.88,0.76
c973295f,A,No Instructions,41,block1,medium_noise,0,loss,369,0,1,0,0.92,0.74
c973295f,A,No Instructions,42,block1,medium_noise,1,win,300,1,1,0,0.9,0.9
c973295f,A,No Instructions,43,block1,medium_noise,1,loss,486,1,1,1,0.9,0.9
c973295f,A,No Instructions,44,block1,medium_noise,0,loss,399,0,1,0,0.82,0.68
