participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
cc508b71,A,No Instructions,1,block1,medium_noise,0,win,5637,1,0,0,0.58,0.48
cc508b71,A,No Instructions,2,block1,medium_noise,0,win,2414,1,0,0,0.14,0.28
cc508b71,A,No Instructions,3,block1,medium_noise,0,loss,972,1,0,1,0.06,0.16
cc508b71,A,No Instructions,4,block1,medium_noise,0,win,2128,1,0,0,0.34,0.5
cc508b71,A,No Instructions,5,block1,medium_noise,1,loss,2332,0,0,0,0.1,0.18
cc508b71,A,No Instructions,6,block1,medium_noise,0,win,2231,1,0,0,0.06,0.2
cc508b71,A,No Instructions,7,block1,medium_noise,0,win,733,1,0,0,0.06,0.1
cc508b71,A,No Instructions,8,block1,medium_noise,1,win,643,0,0,1,0.04,0.08
cc508b71,A,No Instructions,9,block1,medium_noise,0,win,694,1,0,0,0.12,0.16
cc508b71,A,No Instructions,10,block1,medium_noise,0,loss,463,1,0,1,0.1,0.16
cc508b71,A,No Instructions,11,block1,medium_noise,0,win,786,1,0,0,0.2,0.3
cc508b71,A,No Instructions,12,block1,medium_noise,1,loss,618,0,0,0,0.18,0.2
cc508b71,A,No Instructions,13,block1,medium_noise,0,win,877,1,0,0,0.02,0.14
cc508b71,A,No Instructions,14,block1,medium_noise,0,win,1329,1,0,0,0.06,0.08
cc508b71,A,No Instructions,15,block1,medium_noise,1,loss,1258,0,0,0,0.12,0.06
cc508b71,A,No Instructions,16,block1,medium_noise,0,win,912,1,0,0,0.04,0.08
cc508b71,A,No Instructions,17,block1,medium_noise,0,win,785,1,0,0,0.08,0.14
cc508b71,A,No Instructions,18,block1,medium_noise,0,win,580,1,0,0,0.08,0.04
cc508b71,A,No Instructions,19,block1,medium_noise,1,win,851,0,0,1,0.1,0.04
cc508b71,A,No Instructions,20,block1,medium_noise,1,win,565,0,0,1,0.08,0.1
cc508b71,A,No Instructions,21,block1,medium_noise,0,win,495,1,0,0,0.48,0.38
cc508b71,A,No Instructions,22,block1,medium_noise,1,loss,659,0,0,0,0.18,0.1
cc508b71,A,No Instructions,23,block1,medium_noise,0,win,891,1,0,0,0.08,0.08
cc508b71,A,No Instructions,24,block1,medium_noise,0,win,563,1,0,0,0.06,0.06
cc508b71,A,No Instructions,25,block1,medium_noise,1,win,776,0,0,1,0.06,0.08
cc508b71,A,No Instructions,26,block1,medium_noise,1,loss,555,0,0,0,0.18,0.16
cc508b71,A,No Instructions,27,block1,medium_noise,1,loss,507,0,0,0,0.08,0.1
cc508b71,A,No Instructions,28,block1,medium_noise,0,win,475,1,0,0,0.1,0.06
cc508b71,A,No Instructions,29,block1,medium_noise,0,win,491,1,0,0,0.06,0.06
cc508b71,A,No Instructions,30,block1,medium_noise,0,win,476,1,0,0,0.08,0.02
cc508b71,A,No Instructions,31,block1,medium_noise,1,loss,434,0,0,0,0.02,0.02
cc508b71,A,No Instructions,32,block1,medium_noise,0,win,436,1,0,0,0.06,0.06
cc508b71,A,No Instructions,33,block1,medium_noise,0,win,530,1,0,0,0.08,0.04
cc508b71,A,No Instructions,34,block1,medium_noise,0,loss,680,1,0,1,0.12,0.06
cc508b71,A,No Instructions,35,block1,medium_noise,0,win,735,1,0,0,0.2,0.0
cc508b71,A,No Instructions,36,block1,medium_noise,1,loss,459,0,0,0,0.12,0.02
cc508b71,A,No Instructions,37,block1,medium_noise,0,loss,404,0,1,0,0.06,0.0
cc508b71,A,No Instructions,38,block1,medium_noise,0,loss,461,0,1,0,0.22,0.12
cc508b71,A,No Instructions,39,block1,medium_noise,1,win,264,1,1,0,0.6,0.34
cc508b71,A,No Instructions,40,block1,medium_noise,1,win,432,1,1,0,0.84,0.44
cc508b71,A,No Instructions,41,block1,medium_noise,1,win,367,1,1,0,0.9,0.74
cc508b71,A,No Instructions,42,block1,medium_noise,1,loss,409,1,1,1,0.92,0.68
cc508b71,A,No Instructions,43,block1,medium_noise,1,win,797,1,1,0,0.66,0.26
cc508b71,A,No Instructions,44,block1,medium_noise,0,loss,530,0,1,0,0.8,0.6
cc508b71,A,No Instructions,45,block1,medium_noise,1,win,629,1,1,0,0.9,0.88
cc508b71,A,No Instructions,46,block1,medium_noise,1,win,508,1,1,0,0.86,0.92
cc508b71,A,No Instructions,47,block1,medium_noise,1,win,583,1,1,0,0.94,0.94
cc508b71,A,No Instructions,48,block1,medium_noise,1,win,393,1,1,0,0.9,0.94
cc508b71,A,No Instructions,49,block1,medium_noise,1,loss,459,1,1,1,0.88,0.9
cc508b71,A,No Instructions,50,block1,medium_noise,1,loss,621,1,1,1,0.82,0.72
cc508b71,A,No Instructions,1,block2,high_noise,0,loss,1778,1,0,1,0.44,0.26
cc508b71,A,No Instructions,2,block2,high_noise,0,win,620,1,0,0,0.88,0.72
cc508b71,A,No Instructions,3,block2,high_noise,0,win,421,1,0,0,0.32,0.44
cc508b71,A,No Instructions,4,block2,high_noise,0,loss,348,1,0,1,0.06,0.06
cc508b71,A,No Instructions,5,block2,high_noise,1,loss,173,0,0,0,0.5,0.4
cc508b71,A,No Instructions,6,block2,high_noise,0,win,732,1,0,0,0.22,0.14
cc508b71,A,No Instructions,7,block2,high_noise,0,win,411,1,0,0,0.1,0.04
cc508b71,A,No Instructions,8,block2,high_noise,0,loss,421,1,0,1,0.1,0.04
cc508b71,A,No Instructions,9,block2,high_noise,1,loss,478,0,0,0,0.34,0.14
cc508b71,A,No Instructions,10,block2,high_noise,0,loss,408,0,1,0,0.14,0.16
cc508b71,A,No Instructions,11,block2,high_noise,0,win,445,1,0,0,0.5,0.28
cc508b71,A,No Instructions,12,block2,high_noise,0,win,377,1,0,0,0.1,0.18
cc508b71,A,No Instructions,13,block2,high_noise,0,win,266,1,0,0,0.26,0.12
cc508b71,A,No Instructions,14,block2,high_noise,0,win,390,1,0,0,0.1,0.12
cc508b71,A,No Instructions,15,block2,high_noise,1,loss,456,0,0,0,0.08,0.06
cc508b71,A,No Instructions,16,block2,high_noise,0,win,119,1,0,0,0.12,0.16
cc508b71,A,No Instructions,17,block2,high_noise,0,win,336,1,0,0,0.12,0.04
cc508b71,A,No Instructions,18,block2,high_noise,0,win,311,1,0,0,0.02,0.06
cc508b71,A,No Instructions,19,block2,high_noise,0,loss,403,1,0,1,0.06,0.0
cc508b71,A,No Instructions,20,block2,high_noise,1,win,175,0,0,1,0.22,0.14
cc508b71,A,No Instructions,21,block2,high_noise,1,win,444,0,0,1,0.64,0.34
cc508b71,A,No Instructions,22,block2,high_noise,1,loss,558,0,0,0,0.74,0.54
cc508b71,A,No Instructions,23,block2,high_noise,0,win,53,1,0,0,0.36,0.14
cc508b71,A,No Instructions,24,block2,high_noise,0,win,817,1,0,0,0.16,0.0
cc508b71,A,No Instructions,25,block2,high_noise,0,win,311,1,0,0,0.06,0.1
cc508b71,A,No Instructions,26,block2,high_noise,0,loss,604,1,0,1,0.08,0.04
cc508b71,A,No Instructions,27,block2,high_noise,0,win,643,1,0,0,0.3,0.08
cc508b71,A,No Instructions,28,block2,high_noise,0,loss,283,0,1,0,0.1,0.12
cc508b71,A,No Instructions,29,block2,high_noise,1,win,140,1,1,0,0.38,0.14
cc508b71,A,No Instructions,30,block2,high_noise,1,win,382,1,1,0,0.86,0.42
cc508b71,A,No Instructions,31,block2,high_noise,1,win,363,1,1,0,0.8,0.62
cc508b71,A,No Instructions,32,block2,high_noise,1,loss,286,0,0,0,0.92,0.82
cc508b71,A,No Instructions,33,block2,high_noise,0,loss,253,1,0,1,0.56,0.38
cc508b71,A,No Instructions,34,block2,high_noise,1,loss,893,0,0,0,0.86,0.64
cc508b71,A,No Instructions,35,block2,high_noise,0,win,25,1,0,0,0.48,0.3
cc508b71,A,No Instructions,36,block2,high_noise,0,win,1080,1,0,0,0.18,0.18
cc508b71,A,No Instructions,37,block2,high_noise,0,loss,690,1,0,1,0.18,0.04
cc508b71,A,No Instructions,38,block2,high_noise,0,loss,796,1,0,1,0.58,0.16
cc508b71,A,No Instructions,39,block2,high_noise,1,loss,77,0,0,0,0.74,0.42
cc508b71,A,No Instructions,40,block2,high_noise,0,win,172,1,0,0,0.4,0.08
cc508b71,A,No Instructions,41,block2,high_noise,0,win,391,1,0,0,0.2,0.1
cc508b71,A,No Instructions,42,block2,high_noise,0,win,294,1,0,0,0.08,0.1
cc508b71,A,No Instructions,43,block2,high_noise,1,loss,220,0,0,0,0.06,0.04
cc508b71,A,No Instructions,44,block2,high_noise,0,loss,508,1,0,1,0.18,0.02
cc508b71,A,No Instructions,45,block2,high_noise,0,win,630,1,0,0,0.42,0.06
cc508b71,A,No Instructions,46,block2,high_noise,0,loss,117,1,0,1,0.14,0.12
cc508b71,A,No Instructions,47,block2,high_noise,1,loss,683,0,0,0,0.54,0.1
cc508b71,A,No Instructions,48,block2,high_noise,0,win,180,1,0,0,0.16,0.1
cc508b71,A,No Instructions,49,block2,high_noise,1,win,764,1,1,0,0.14,0.08
cc508b71,A,No Instructions,50,block2,high_noise,1,win,716,1,1,0,0.44,0.12
