participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
cd4434f6,B,Instructions,1,block1,high_noise,0,loss,4899,1,0,1,0.58,0.48
cd4434f6,B,Instructions,2,block1,high_noise,0,loss,8905,0,1,0,0.86,0.72
cd4434f6,B,Instructions,3,block1,high_noise,1,loss,1257,1,1,1,0.9,0.84
cd4434f6,B,Instructions,4,block1,high_noise,0,loss,1097,0,1,0,0.62,0.42
cd4434f6,B,Instructions,5,block1,high_noise,1,win,1756,1,1,0,0.76,0.82
cd4434f6,B,Instructions,6,block1,high_noise,1,win,1299,1,1,0,0.98,0.98
cd4434f6,B,Instructions,7,block1,high_noise,1,loss,1209,1,1,1,0.98,0.92
cd4434f6,B,Instructions,8,block1,high_noise,0,loss,972,0,1,0,0.72,0.76
cd4434f6,B,Instructions,9,block1,high_noise,0,loss,636,0,1,0,0.84,0.92
cd4434f6,B,Instructions,10,block1,high_noise,1,loss,1974,0,0,0,0.94,0.92
cd4434f6,B,Instructions,11,block1,high_noise,1,win,2544,0,0,1,0.84,0.76
cd4434f6,B,Instructions,12,block1,high_noise,1,win,1628,0,0,1,0.92,0.84
cd4434f6,B,Instructions,13,block1,high_noise,1,loss,1066,0,0,0,0.92,0.96
cd4434f6,B,Instructions,14,block1,high_noise,0,win,1039,1,0,0,0.76,0.8
cd4434f6,B,Instructions,15,block1,high_noise,0,loss,853,1,0,1,0.64,0.6
cd4434f6,B,Instructions,16,block1,high_noise,1,win,1327,0,0,1,0.66,0.74
cd4434f6,B,Instructions,17,block1,high_noise,1,win,2019,0,0,1,0.86,0.86
cd4434f6,B,Instructions,18,block1,high_noise,0,loss,1131,0,1,0,0.94,0.94
cd4434f6,B,Instructions,19,block1,high_noise,0,loss,1101,0,1,0,0.96,0.92
cd4434f6,B,Instructions,20,block1,high_noise,0,loss,2178,0,1,0,0.92,0.88
cd4434f6,B,Instructions,21,block1,high_noise,0,win,1254,0,1,1,0.96,0.86
cd4434f6,B,Instructions,22,block1,high_noise,1,win,1198,1,1,0,0.84,0.82
cd4434f6,B,Instructions,23,block1,high_noise,0,loss,1413,0,1,0,0.88,0.96
cd4434f6,B,Instructions,24,block1,high_noise,1,loss,1044,0,0,0,0.9,0.94
cd4434f6,B,Instructions,25,block1,high_noise,1,loss,997,0,0,0,0.82,0.9
cd4434f6,B,Instructions,26,block1,high_noise,1,win,796,0,0,1,0.6,0.72
cd4434f6,B,Instructions,27,block1,high_noise,1,loss,1113,0,0,0,0.84,0.86
cd4434f6,B,Instructions,28,block1,high_noise,0,win,1589,1,0,0,0.58,0.72
cd4434f6,B,Instructions,29,block1,high_noise,0,loss,968,0,1,0,0.36,0.52
cd4434f6,B,Instructions,30,block1,high_noise,0,loss,1262,0,1,0,0.76,0.68
cd4434f6,B,Instructions,31,block1,high_noise,1,win,854,1,1,0,0.78,0.76
