participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
ceb36f8b,B,Instructions,1,block1,high_noise,0,win,2145,1,0,0,0.58,0.48
ceb36f8b,B,Instructions,2,block1,high_noise,0,win,3368,1,0,0,0.14,0.28
ceb36f8b,B,Instructions,3,block1,high_noise,1,loss,2083,0,0,0,0.06,0.16
ceb36f8b,B,Instructions,4,block1,high_noise,0,win,1724,1,0,0,0.02,0.08
ceb36f8b,B,Instructions,5,block1,high_noise,0,loss,3253,1,0,1,0.06,0.04
ceb36f8b,B,Instructions,6,block1,high_noise,1,loss,2182,0,0,0,0.22,0.28
ceb36f8b,B,Instructions,7,block1,high_noise,1,win,1501,0,0,1,0.06,0.08
ceb36f8b,B,Instructions,8,block1,high_noise,1,loss,1229,0,0,0,0.28,0.48
ceb36f8b,B,Instructions,9,block1,high_noise,1,loss,1272,0,0,0,0.08,0.16
ceb36f8b,B,Instructions,10,block1,high_noise,0,loss,835,1,0,1,0.08,0.02
ceb36f8b,B,Instructions,11,block1,high_noise,0,win,809,1,0,0,0.14,0.28
ceb36f8b,B,Instructions,12,block1,high_noise,0,loss,932,0,1,0,0.14,0.14
ceb36f8b,B,Instructions,13,block1,high_noise,1,win,1227,1,1,0,0.18,0.46
ceb36f8b,B,Instructions,14,block1,high_noise,0,win,1271,0,1,1,0.58,0.62
ceb36f8b,B,Instructions,15,block1,high_noise,0,loss,978,0,1,0,0.36,0.38
ceb36f8b,B,Instructions,16,block1,high_noise,0,win,1189,0,1,1,0.48,0.58
ceb36f8b,B,Instructions,17,block1,high_noise,1,win,1373,1,1,0,0.28,0.26
ceb36f8b,B,Instructions,18,block1,high_noise,0,loss,1269,0,1,0,0.46,0.46
ceb36f8b,B,Instructions,19,block1,high_noise,1,win,1162,1,1,0,0.62,0.7
ceb36f8b,B,Instructions,20,block1,high_noise,1,win,983,1,1,0,0.78,0.94
ceb36f8b,B,Instructions,21,block1,high_noise,1,win,889,1,1,0,0.8,0.96
ceb36f8b,B,Instructions,22,block1,high_noise,0,loss,1238,0,1,0,0.88,0.92
ceb36f8b,B,Instructions,23,block1,high_noise,0,loss,664,0,1,0,0.88,0.92
ceb36f8b,B,Instructions,24,block1,high_noise,1,loss,1104,1,1,1,0.86,0.96
ceb36f8b,B,Instructions,25,block1,high_noise,0,loss,864,0,1,0,0.7,0.88
ceb36f8b,B,Instructions,26,block1,high_noise,0,loss,879,0,1,0,0.84,0.88
ceb36f8b,B,Instructions,27,block1,high_noise,1,win,1495,1,1,0,0.92,0.88
ceb36f8b,B,Instructions,28,block1,high_noise,1,win,872,1,1,0,0.96,0.9
ceb36f8b,B,Instructions,29,block1,high_noise,0,win,1259,0,1,1,0.86,0.88
ceb36f8b,B,Instructions,30,block1,high_noise,1,win,1527,1,1,0,0.84,0.92
ceb36f8b,B,Instructions,31,block1,high_noise,0,loss,1226,0,1,0,0.9,1.0
ceb36f8b,B,Instructions,32,block1,high_noise,0,loss,731,0,1,0,0.84,0.88
ceb36f8b,B,Instructions,33,block1,high_noise,0,loss,691,0,1,0,0.9,0.96
ceb36f8b,B,Instructions,34,block1,high_noise,1,win,1046,1,1,0,0.92,0.96
ceb36f8b,B,Instructions,35,block1,high_noise,1,win,744,0,0,1,0.92,0.98
ceb36f8b,B,Instructions,36,block1,high_noise,1,loss,738,0,0,0,0.92,0.96
ceb36f8b,B,Instructions,37,block1,high_noise,0,win,834,1,0,0,0.82,0.94
ceb36f8b,B,Instructions,38,block1,high_noise,0,win,2376,1,0,0,0.54,0.82
ceb36f8b,B,Instructions,39,block1,high_noise,0,loss,885,1,0,1,0.3,0.54
ceb36f8b,B,Instructions,40,block1,high_noise,1,loss,1275,0,0,0,0.74,0.92
ceb36f8b,B,Instructions,41,block1,high_noise,0,loss,940,1,0,1,0.4,0.72
ceb36f8b,B,Instructions,42,block1,high_noise,0,win,762,1,0,0,0.78,0.86
ceb36f8b,B,Instructions,43,block1,high_noise,0,loss,942,1,0,1,0.38,0.64
ceb36f8b,B,Instructions,44,block1,high_noise,1,loss,1743,0,0,0,0.74,0.86
ceb36f8b,B,Instructions,45,block1,high_noise,1,loss,682,0,0,0,0.44,0.68
ceb36f8b,B,Instructions,46,block1,high_noise,1,loss,656,0,0,0,0.18,0.4
ceb36f8b,B,Instructions,47,block1,high_noise,0,loss,470,1,0,1,0.18,0.22
ceb36f8b,B,Instructions,48,block1,high_noise,0,loss,684,1,0,1,0.38,0.56
ceb36f8b,B,Instructions,49,block1,high_noise,1,loss,789,0,0,0,0.76,0.8
ceb36f8b,B,Instructions,50,block1,high_noise,1,win,872,1,1,0,0.4,0.7
ceb36f8b,B,Instructions,1,block2,medium_noise,1,win,1526,1,1,0,0.76,0.8
ceb36f8b,B,Instructions,2,block2,medium_noise,1,loss,1199,1,1,1,0.9,0.94
ceb36f8b,B,Instructions,3,block2,medium_noise,1,win,673,1,1,0,0.64,0.74
ceb36f8b,B,Instructions,4,block2,medium_noise,0,loss,1058,0,1,0,0.72,0.82
ceb36f8b,B,Instructions,5,block2,medium_noise,0,loss,676,0,1,0,0.74,0.96
ceb36f8b,B,Instructions,6,block2,medium_noise,1,win,944,1,1,0,0.86,0.94
ceb36f8b,B,Instructions,7,block2,medium_noise,1,win,665,1,1,0,0.92,0.9
ceb36f8b,B,Instructions,8,block2,medium_noise,0,loss,1431,0,1,0,0.96,0.92
ceb36f8b,B,Instructions,9,block2,medium_noise,1,win,1282,1,1,0,0.94,0.94
ceb36f8b,B,Instructions,10,block2,medium_noise,1,win,696,1,1,0,0.86,1.0
ceb36f8b,B,Instructions,11,block2,medium_noise,1,win,707,1,1,0,0.92,0.98
ceb36f8b,B,Instructions,12,block2,medium_noise,1,loss,635,1,1,1,0.94,0.92
ceb36f8b,B,Instructions,13,block2,medium_noise,0,win,874,0,1,1,0.84,0.92
ceb36f8b,B,Instructions,14,block2,medium_noise,0,loss,731,0,1,0,0.46,0.82
ceb36f8b,B,Instructions,15,block2,medium_noise,0,win,761,0,1,1,0.84,0.92
ceb36f8b,B,Instructions,16,block2,medium_noise,0,loss,792,0,1,0,0.48,0.84
ceb36f8b,B,Instructions,17,block2,medium_noise,1,win,624,1,1,0,0.8,0.92
ceb36f8b,B,Instructions,18,block2,medium_noise,1,win,635,1,1,0,0.84,0.98
ceb36f8b,B,Instructions,19,block2,medium_noise,1,loss,725,1,1,1,0.96,0.92
ceb36f8b,B,Instructions,20,block2,medium_noise,0,loss,705,0,1,0,0.8,0.9
ceb36f8b,B,Instructions,21,block2,medium_noise,0,loss,638,0,1,0,0.72,0.9
ceb36f8b,B,Instructions,22,block2,medium_noise,0,loss,653,0,1,0,0.86,0.94
ceb36f8b,B,Instructions,23,block2,medium_noise,1,win,715,1,1,0,0.94,0.98
ceb36f8b,B,Instructions,24,block2,medium_noise,1,loss,608,1,1,1,0.92,0.96
ceb36f8b,B,Instructions,25,block2,medium_noise,0,loss,540,0,1,0,0.92,0.96
ceb36f8b,B,Instructions,26,block2,medium_noise,0,loss,540,0,1,0,0.84,0.94
ceb36f8b,B,Instructions,27,block2,medium_noise,0,loss,75118,0,1,0,0.94,0.94
ceb36f8b,B,Instructions,28,block2,medium_noise,0,loss,604,0,1,0,0.94,0.94
ceb36f8b,B,Instructions,29,block2,medium_noise,1,win,404,1,1,0,0.98,0.96
ceb36f8b,B,Instructions,30,block2,medium_noise,1,win,1095,1,1,0,0.94,0.94
ceb36f8b,B,Instructions,31,block2,medium_noise,1,win,782,1,1,0,0.94,0.98
ceb36f8b,B,Instructions,32,block2,medium_noise,0,loss,901,0,1,0,0.94,0.96
ceb36f8b,B,Instructions,33,block2,medium_noise,1,win,710,1,1,0,0.86,0.9
ceb36f8b,B,Instructions,34,block2,medium_noise,1,loss,687,1,1,1,0.98,0.98
ceb36f8b,B,Instructions,35,block2,medium_noise,1,win,1225,1,1,0,0.84,0.92
ceb36f8b,B,Instructions,36,block2,medium_noise,1,loss,1337,1,1,1,0.94,0.98
ceb36f8b,B,Instructions,37,block2,medium_noise,0,loss,704,1,0,1,0.72,0.96
ceb36f8b,B,Instructions,38,block2,medium_noise,0,win,1535,1,0,0,0.94,0.9
ceb36f8b,B,Instructions,39,block2,medium_noise,0,win,962,1,0,0,0.84,0.88
ceb36f8b,B,Instructions,40,block2,medium_noise,0,win,670,1,0,0,0.42,0.88
ceb36f8b,B,Instructions,41,block2,medium_noise,0,win,744,1,0,0,0.16,0.46
ceb36f8b,B,Instructions,42,block2,medium_noise,0,loss,637,0,1,0,0.16,0.3
ceb36f8b,B,Instructions,43,block2,medium_noise,0,loss,733,0,1,0,0.34,0.72
ceb36f8b,B,Instructions,44,block2,medium_noise,1,win,548,1,1,0,0.8,0.92
ceb36f8b,B,Instructions,45,block2,medium_noise,1,win,606,1,1,0,0.88,0.94
ceb36f8b,B,Instructions,46,block2,medium_noise,1,win,815,1,1,0,0.9,0.92
ceb36f8b,B,Instructions,47,block2,medium_noise,1,win,678,1,1,0,0.82,0.96
ceb36f8b,B,Instructions,48,block2,medium_noise,1,loss,764,0,0,0,0.92,0.96
ceb36f8b,B,Instructions,49,block2,medium_noise,0,win,581,1,0,0,0.74,0.92
ceb36f8b,B,Instructions,50,block2,medium_noise,0,win,623,1,0,0,0.42,0.9
