participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
e97713f3,B,Instructions,1,block1,medium_noise,0,loss,11908,0,1,0,0.58,0.48
e97713f3,B,Instructions,2,block1,medium_noise,1,win,7406,1,1,0,0.86,0.72
e97713f3,B,Instructions,3,block1,medium_noise,1,win,5685,1,1,0,0.9,0.84
e97713f3,B,Instructions,4,block1,medium_noise,1,win,3977,1,1,0,0.9,0.9
e97713f3,B,Instructions,5,block1,medium_noise,1,win,4117,1,1,0,0.98,0.92
e97713f3,B,Instructions,6,block1,medium_noise,1,win,2515,1,1,0,0.94,0.98
e97713f3,B,Instructions,7,block1,medium_noise,1,win,3037,1,1,0,0.94,0.96
e97713f3,B,Instructions,8,block1,medium_noise,1,win,2121,1,1,0,0.96,0.92
e97713f3,B,Instructions,9,block1,medium_noise,1,loss,1953,1,1,1,0.96,0.96
e97713f3,B,Instructions,10,block1,medium_noise,0,loss,4537,0,1,0,0.78,0.86
e97713f3,B,Instructions,11,block1,medium_noise,1,loss,2867,1,1,1,0.96,0.94
e97713f3,B,Instructions,12,block1,medium_noise,1,win,823,1,1,0,0.72,0.64
e97713f3,B,Instructions,13,block1,medium_noise,0,loss,2197,0,1,0,0.88,0.9
e97713f3,B,Instructions,14,block1,medium_noise,1,loss,1473,0,0,0,0.96,0.86
e97713f3,B,Instructions,15,block1,medium_noise,1,loss,1132,0,0,0,0.82,0.62
e97713f3,B,Instructions,16,block1,medium_noise,0,win,4195,1,0,0,0.38,0.44
e97713f3,B,Instructions,17,block1,medium_noise,0,loss,4113,1,0,1,0.2,0.28
e97713f3,B,Instructions,18,block1,medium_noise,0,win,1226,1,0,0,0.44,0.74
e97713f3,B,Instructions,19,block1,medium_noise,1,loss,1377,0,0,0,0.26,0.24
e97713f3,B,Instructions,20,block1,medium_noise,0,win,3672,1,0,0,0.22,0.14
e97713f3,B,Instructions,21,block1,medium_noise,0,win,3762,1,0,0,0.12,0.1
e97713f3,B,Instructions,22,block1,medium_noise,0,win,1961,1,0,0,0.1,0.12
e97713f3,B,Instructions,23,block1,medium_noise,0,loss,1717,1,0,1,0.04,0.1
e97713f3,B,Instructions,24,block1,medium_noise,1,loss,2461,0,0,0,0.1,0.24
e97713f3,B,Instructions,25,block1,medium_noise,1,win,1848,1,1,0,0.1,0.08
e97713f3,B,Instructions,26,block1,medium_noise,1,win,2963,1,1,0,0.18,0.4
e97713f3,B,Instructions,27,block1,medium_noise,1,loss,1537,1,1,1,0.7,0.7
e97713f3,B,Instructions,28,block1,medium_noise,1,win,4393,1,1,0,0.26,0.26
e97713f3,B,Instructions,29,block1,medium_noise,1,win,1595,1,1,0,0.68,0.66
e97713f3,B,Instructions,30,block1,medium_noise,1,loss,1502,0,0,0,0.84,0.82
e97713f3,B,Instructions,31,block1,medium_noise,1,loss,2385,0,0,0,0.36,0.46
e97713f3,B,Instructions,32,block1,medium_noise,0,win,2641,1,0,0,0.22,0.32
e97713f3,B,Instructions,33,block1,medium_noise,0,win,1549,1,0,0,0.14,0.08
e97713f3,B,Instructions,34,block1,medium_noise,0,win,1162,1,0,0,0.14,0.1
e97713f3,B,Instructions,35,block1,medium_noise,0,win,1504,1,0,0,0.04,0.06
e97713f3,B,Instructions,36,block1,medium_noise,0,loss,2065,1,0,1,0.04,0.02
e97713f3,B,Instructions,37,block1,medium_noise,0,win,3886,1,0,0,0.24,0.08
e97713f3,B,Instructions,38,block1,medium_noise,0,win,1036,1,0,0,0.1,0.1
e97713f3,B,Instructions,39,block1,medium_noise,0,win,1350,1,0,0,0.2,0.06
e97713f3,B,Instructions,40,block1,medium_noise,0,win,1026,1,0,0,0.04,0.06
e97713f3,B,Instructions,41,block1,medium_noise,0,loss,1165,1,0,1,0.1,0.1
e97713f3,B,Instructions,42,block1,medium_noise,0,win,1220,1,0,0,0.28,0.16
e97713f3,B,Instructions,43,block1,medium_noise,0,win,1310,1,0,0,0.08,0.0
e97713f3,B,Instructions,44,block1,medium_noise,0,win,1128,1,0,0,0.12,0.0
e97713f3,B,Instructions,45,block1,medium_noise,0,win,824,1,0,0,0.2,0.04
e97713f3,B,Instructions,46,block1,medium_noise,0,win,882,1,0,0,0.08,0.06
e97713f3,B,Instructions,47,block1,medium_noise,0,win,983,1,0,0,0.02,0.02
e97713f3,B,Instructions,48,block1,medium_noise,0,win,761,1,0,0,0.06,0.04
e97713f3,B,Instructions,49,block1,medium_noise,0,win,678,1,0,0,0.02,0.02
e97713f3,B,Instructions,50,block1,medium_noise,0,win,1005,1,0,0,0.06,0.04
e97713f3,B,Instructions,1,block2,high_noise,0,loss,4094,1,0,1,0.04,0.1
e97713f3,B,Instructions,2,block2,high_noise,1,loss,1963,0,0,0,0.2,0.12
e97713f3,B,Instructions,3,block2,high_noise,0,loss,6347,1,0,1,0.14,0.0
e97713f3,B,Instructions,4,block2,high_noise,0,loss,2561,1,0,1,0.34,0.08
e97713f3,B,Instructions,5,block2,high_noise,0,win,4223,1,0,0,0.6,0.44
e97713f3,B,Instructions,6,block2,high_noise,0,win,3697,1,0,0,0.22,0.18
e97713f3,B,Instructions,7,block2,high_noise,0,loss,1712,1,0,1,0.14,0.08
e97713f3,B,Instructions,8,block2,high_noise,0,loss,3528,1,0,1,0.44,0.26
e97713f3,B,Instructions,9,block2,high_noise,0,win,2468,1,0,0,0.74,0.5
e97713f3,B,Instructions,10,block2,high_noise,0,win,1611,1,0,0,0.28,0.14
e97713f3,B,Instructions,11,block2,high_noise,0,win,1137,1,0,0,0.22,0.12
e97713f3,B,Instructions,12,block2,high_noise,0,loss,1091,1,0,1,0.08,0.04
e97713f3,B,Instructions,13,block2,high_noise,0,win,2287,1,0,0,0.42,0.1
e97713f3,B,Instructions,14,block2,high_noise,0,win,1099,1,0,0,0.18,0.06
e97713f3,B,Instructions,15,block2,high_noise,0,win,1678,1,0,0,0.12,0.04
e97713f3,B,Instructions,16,block2,high_noise,0,win,1071,1,0,0,0.14,0.0
e97713f3,B,Instructions,17,block2,high_noise,0,loss,665,1,0,1,0.06,0.04
e97713f3,B,Instructions,18,block2,high_noise,0,win,1724,1,0,0,0.2,0.06
e97713f3,B,Instructions,19,block2,high_noise,0,loss,761,1,0,1,0.14,0.02
e97713f3,B,Instructions,20,block2,high_noise,0,win,874,1,0,0,0.38,0.1
e97713f3,B,Instructions,21,block2,high_noise,0,win,871,1,0,0,0.08,0.06
e97713f3,B,Instructions,22,block2,high_noise,0,win,767,1,0,0,0.02,0.1
e97713f3,B,Instructions,23,block2,high_noise,0,win,988,1,0,0,0.02,0.02
e97713f3,B,Instructions,24,block2,high_noise,0,loss,390,1,0,1,0.08,0.02
e97713f3,B,Instructions,25,block2,high_noise,0,win,1025,1,0,0,0.22,0.1
e97713f3,B,Instructions,26,block2,high_noise,0,win,495,1,0,0,0.1,0.02
e97713f3,B,Instructions,27,block2,high_noise,0,loss,555,1,0,1,0.08,0.06
e97713f3,B,Instructions,28,block2,high_noise,0,win,1411,1,0,0,0.2,0.1
e97713f3,B,Instructions,29,block2,high_noise,0,win,441,1,0,0,0.08,0.1
e97713f3,B,Instructions,30,block2,high_noise,0,win,450,1,0,0,0.1,0.02
e97713f3,B,Instructions,31,block2,high_noise,0,win,501,1,0,0,0.06,0.06
e97713f3,B,Instructions,32,block2,high_noise,0,loss,426,1,0,1,0.0,0.04
e97713f3,B,Instructions,33,block2,high_noise,0,win,1031,1,0,0,0.14,0.14
e97713f3,B,Instructions,34,block2,high_noise,0,win,610,1,0,0,0.2,0.06
e97713f3,B,Instructions,35,block2,high_noise,0,win,1317,1,0,0,0.1,0.1
e97713f3,B,Instructions,36,block2,high_noise,0,win,420,1,0,0,0.12,0.04
e97713f3,B,Instructions,37,block2,high_noise,0,win,403,1,0,0,0.02,0.06
e97713f3,B,Instructions,38,block2,high_noise,0,win,393,1,0,0,0.04,0.08
e97713f3,B,Instructions,39,block2,high_noise,0,win,450,1,0,0,0.04,0.02
e97713f3,B,Instructions,40,block2,high_noise,0,win,383,1,0,0,0.1,0.06
e97713f3,B,Instructions,41,block2,high_noise,0,win,526,1,0,0,0.04,0.04
e97713f3,B,Instructions,42,block2,high_noise,0,win,336,1,0,0,0.02,0.02
e97713f3,B,Instructions,43,block2,high_noise,0,loss,946,1,0,1,0.06,0.06
e97713f3,B,Instructions,44,block2,high_noise,0,win,1272,1,0,0,0.14,0.04
e97713f3,B,Instructions,45,block2,high_noise,0,win,392,1,0,0,0.08,0.02
e97713f3,B,Instructions,46,block2,high_noise,0,win,703,1,0,0,0.0,0.04
e97713f3,B,Instructions,47,block2,high_noise,0,win,428,1,0,0,0.02,0.04
e97713f3,B,Instructions,48,block2,high_noise,0,loss,712,1,0,1,0.12,0.06
e97713f3,B,Instructions,49,block2,high_noise,0,loss,822,1,0,1,0.06,0.06
e97713f3,B,Instructions,50,block2,high_noise,0,win,713,1,0,0,0.5,0.1
