participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
f2d405ab,B,Instructions,1,block1,medium_noise,0,loss,5905,0,1,0,0.58,0.48
f2d405ab,B,Instructions,2,block1,medium_noise,1,loss,805,1,1,1,0.86,0.72
f2d405ab,B,Instructions,3,block1,medium_noise,0,loss,2511,0,1,0,0.44,0.38
f2d405ab,B,Instructions,4,block1,medium_noise,0,win,6431,0,1,1,0.7,0.76
f2d405ab,B,Instructions,5,block1,medium_noise,0,loss,2483,0,1,0,0.46,0.38
f2d405ab,B,Instructions,6,block1,medium_noise,1,win,1768,1,1,0,0.8,0.66
f2d405ab,B,Instructions,7,block1,medium_noise,1,loss,5611,1,1,1,0.86,0.74
f2d405ab,B,Instructions,8,block1,medium_noise,0,loss,744,0,1,0,0.68,0.66
f2d405ab,B,Instructions,9,block1,medium_noise,1,win,584,1,1,0,0.88,0.7
f2d405ab,B,Instructions,10,block1,medium_noise,1,loss,1985,1,1,1,0.9,0.86
f2d405ab,B,Instructions,11,block1,medium_noise,0,loss,1446,0,1,0,0.6,0.7
f2d405ab,B,Instructions,12,block1,medium_noise,1,win,462,1,1,0,0.92,0.78
f2d405ab,B,Instructions,13,block1,medium_noise,0,loss,2443,0,1,0,0.88,0.9
f2d405ab,B,Instructions,14,block1,medium_noise,1,loss,397,1,1,1,0.94,0.92
f2d405ab,B,Instructions,15,block1,medium_noise,1,win,721,1,1,0,0.74,0.78
f2d405ab,B,Instructions,16,block1,medium_noise,0,loss,3099,0,1,0,0.9,0.8
f2d405ab,B,Instructions,17,block1,medium_noise,0,loss,713,0,1,0,0.88,0.82
f2d405ab,B,Instructions,18,block1,medium_noise,0,win,472,0,1,1,0.88,0.94
f2d405ab,B,Instructions,19,block1,medium_noise,0,loss,3264,0,1,0,0.86,0.92
f2d405ab,B,Instructions,20,block1,medium_noise,0,loss,1104,0,1,0,0.9,0.92
f2d405ab,B,Instructions,21,block1,medium_noise,0,loss,360,0,1,0,0.92,0.92
f2d405ab,B,Instructions,22,block1,medium_noise,1,win,600,1,1,0,0.92,0.96
f2d405ab,B,Instructions,23,block1,medium_noise,1,win,1335,1,1,0,0.92,0.96
f2d405ab,B,Instructions,24,block1,medium_noise,0,win,2763,0,1,1,0.94,0.92
f2d405ab,B,Instructions,25,block1,medium_noise,1,win,1060,1,1,0,0.9,0.94
f2d405ab,B,Instructions,26,block1,medium_noise,1,loss,1205,1,1,1,0.92,0.92
f2d405ab,B,Instructions,27,block1,medium_noise,0,win,361,0,1,1,0.78,0.9
f2d405ab,B,Instructions,28,block1,medium_noise,0,loss,827,0,1,0,0.5,0.72
f2d405ab,B,Instructions,29,block1,medium_noise,1,win,212,1,1,0,0.74,0.98
f2d405ab,B,Instructions,30,block1,medium_noise,1,win,1222,1,1,0,0.82,0.94
f2d405ab,B,Instructions,31,block1,medium_noise,1,loss,1635,1,1,1,0.9,0.9
f2d405ab,B,Instructions,32,block1,medium_noise,0,loss,99,0,1,0,0.72,0.84
f2d405ab,B,Instructions,33,block1,medium_noise,1,win,143,1,1,0,0.9,0.92
f2d405ab,B,Instructions,34,block1,medium_noise,1,win,613,1,1,0,0.88,0.96
f2d405ab,B,Instructions,35,block1,medium_noise,1,win,727,1,1,0,0.92,0.98
f2d405ab,B,Instructions,36,block1,medium_noise,1,win,663,1,1,0,0.94,0.92
f2d405ab,B,Instructions,37,block1,medium_noise,1,loss,744,1,1,1,0.92,0.94
